sample_type,sample_subtype,classcode,genus,species,description_common_spp_name
UPC,COVER,DODFEW,Dodecaceria,fewkesi,Dodecaceria
UPC,COVER,EGRMEN,Egregia,menziesii,Egregia
UPC,COVER,ENCRED,,,Red algae -Encrusting
UPC,COVER,ENCRED,,,Red algae -Encrusting
UPC,COVER,ENCRED,,,Red algae -Encrusting
UPC,COVER,ERECOR,,,Coralline algae -Erect/Articulated 
UPC,COVER,ERECTRED,,,Red fleshy algae
UPC,COVER,GORGAD,,,Gorgonian adult
UPC,COVER,GORGAD,,,Gorgonian adult
UPC,COVER,GREEN,,,Green algae
UPC,COVER,GREEN,,,Green algae
UPC,COVER,HYDROID,,,Hydroid
UPC,COVER,LACY,,,Red algae (lacy branching)
UPC,COVER,LAMHOLD,,,Laminariales holdfast (alive)
UPC,COVER,LAMHOLD,,,Laminariales holdfast (alive)
UPC,COVER,LAMHOLD,,,Laminariales holdfast (alive)
UPC,COVER,LAMHOLD,,,Laminariales holdfast (alive)
UPC,COVER,LAMHOLD,,,Laminariales holdfast (alive)
UPC,COVER,LAMHOLD,,,Laminariales holdfast (alive)
UPC,COVER,LAMHOLD,,,Laminariales holdfast (alive)
UPC,COVER,LAMHOLD,,,Laminariales holdfast (alive)
UPC,COVER,LAMHOLD,,,Laminariales holdfast (alive)
UPC,COVER,LEAFY,,,Red algae (leaf-like)
UPC,COVER,LEAFY,,,Red algae (leaf-like)
UPC,COVER,MACPYR_HF,,,Macrosystis holdfast (alive)
UPC,COVER,MACPYR_HF,,,Macrosystis holdfast (alive)
UPC,COVER,MUD,,,Sediment/Mud
UPC,COVER,MUD,,,Sediment/Mud
UPC,COVER,MUSSEL,,,Mussel
UPC,COVER,PACRUB,Pachythone,rubra,red sea cucumber
UPC,COVER,PETMON,Petaloconchus,montereyensis,worm snail
UPC,COVER,PHRCAL,Phragmatopoma,californica,colonial sand tube worm
UPC,COVER,PHYSPP,Phyllospadix,spp.,surfgrass
UPC,COVER,PHYSPP,Phyllospadix,spp.,surfgrass
UPC,COVER,SALTRI,Salmacina,tribranchiata,fragile tube worms
UPC,COVER,SARFIL,Sargassum,filicinum,Sargassum
UPC,COVER,SARFIL,Sargassum,filicinum,Sargassum
UPC,COVER,SARMUT,Sargassum,muticum,Sargassum
UPC,COVER,SARSPP,Sargassum,spp.,Sargassum
UPC,COVER,SB00RED,,,"SB 2000 definition of 'Other Red' included all red algae except RHOSPP, BUSHY,  LEAFY, CRUCOR and ERECOR"
UPC,COVER,SCALLOP,,,Scallop
UPC,COVER,SCSB99RED,,,"SC and SB 1999 definition of 'Other Red' included all red algae except RHOSPP, CRUCOR and ERECOR"
UPC,COVER,SCUM,,,Diatom Layer
UPC,COVER,SERPET,Serpulorbis/Petaloconchus,spp.,"tube snail, scaled worm shell"
UPC,COVER,SERSQU,Serpulorbis,squamigerus,"tube snail, scaled worm shell"
UPC,COVER,SERSQU,Serpulorbis,squamigerus,"tube snail, scaled worm shell"
UPC,COVER,SHELL,,,Shell Debris
UPC,COVER,SOLTUN,,,Tunicate -Solitary
UPC,COVER,SPONGE,,,Sponge
UPC,COVER,STYCAL,Stylaster,californicus,california hydrocoral
UPC,COVER,TUBEMAT,,,Tubeworm mat.
UPC,COVER,TUBEMAT,,,Tubeworm mat.
UPC,COVER,TUBEWORM,,,Tubeworm
UPC,COVER,TUBEWORM,,,Tubeworm
UPC,COVER,TUBEWORM,,,Tubeworm
UPC,COVER,TUBEWORM,,,Tubeworm
UPC,COVER,TUBEWORM,,,Tubeworm
UPC,COVER,TUBEWORM,,,Tubeworm
UPC,COVER,TUBEWORM,,,Tubeworm
UPC,COVER,TURF,,,Red filamentous turf 
UPC,COVER UCSB,STYPOR,Stylantheca,porphyra,encrusting purple hydrocoral
UPC,COVER,HETPAC,Heteropora,pacifica,Northern Staghorn Bryozoan
UPC,RELIEF,FLATREL,,,Vertical relief: Flat
UPC,RELIEF,FLATREL,,,Vertical relief: Flat
UPC,RELIEF,HIREL,,,Vertical relief: High
UPC,RELIEF,HIREL,,,Vertical relief: High
UPC,RELIEF,MODREL,,,Vertical relief: Moderate 
UPC,RELIEF,MODREL,,,Vertical relief: Moderate 
UPC,RELIEF,SLTREL,,,Vertical Relief: Slight
UPC,RELIEF,SLTREL,,,Vertical Relief: Slight
UPC,SUBSTRATE,BEDRK,,,Substrate: Bedrock 
UPC,SUBSTRATE,BEDRK,,,Substrate: Bedrock 
UPC,SUBSTRATE,BOULD,,,Substrate: Boulder 
UPC,SUBSTRATE,BOULD,,,Substrate: Boulder 
UPC,SUBSTRATE,COB,,,Substrate: Cobble
UPC,SUBSTRATE,COB,,,Substrate: Cobble
UPC,SUBSTRATE,SAND,,,Substrate: Sand
UPC,SUPERLAYER,UNDBRIT,,,Brittlestars (layer above primary spaceholder)
UPC,SUPERLAYER,UNDDET,,,Detritus (layer above primary spaceholder)
UPC,SUPERLAYER,UNDDET,,,Detritus (layer above primary spaceholder)
UPC,SUPERLAYER,UNDLAM,,,Laminaria farlowii sub-canopy (layer above primary spaceholder)
UPC,SUPERLAYER,UNDLAM,,,Laminaria farlowii sub-canopy (layer above primary spaceholder)
UPC,SUPERLAYER,UNDPAC,,,Pachythyone rubra (layer above primary spaceholder)
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
