input,taxid,taxon,tax_rank,tax_division,parentid,parentname,specimenrecords,representitive_image.image,representitive_image.apectratio,taxonrep
Akanthophoreus phillipsi,981346,Akanthophoreus phillipsi,species,Animalia,528053,Akanthophoreus,1,NA,NA,NA
Akera,4702,Akera,genus,Animalia,1850,Akeridae,8,MARGA/M09HYA0032_G1_dors+1454503430.JPG,1.499,NA
Alaba,149469,Alaba,genus,Animalia,149468,Litiopidae,7,NA,NA,NA
Lamprops quadriplicata,299387,Lamprops quadriplicata,species,Animalia,299386,Lamprops,3,CMBIA/IMGP7918+1280264988.jpg,1.506,Lamprops quadriplicata
Alcyonidium,247889,Alcyonidium,genus,Animalia,247888,Alcyonidiidae,116,BEAUF/bioug01534-e09+1320246016.JPG,1.499,Alcyonidium
Alderia willowi,151740,Alderia willowi,species,Animalia,80144,Alderia,64,NA,NA,NA
Alia,495450,Alia,genus,Animalia,84900,Columbellidae,135,RBCMI/BIOUG12670-H06[B]+1401812160.jpg,1.359,Alia
Alia carinata,495451,Alia carinata,species,Animalia,495450,Alia,104,BCMOL/10BCMOL-00038+1299526456.jpg,1.333,Alia carinata
Mitrella tuberosa,765190,Mitrella tuberosa,species,Animalia,95885,Mitrella,21,BHAK/11_06134a+1669421985.jpg,1.14,Mitrella tuberosa
Alienacanthomysis,91913,Alienacanthomysis,genus,Animalia,1718,Mysidae,6,NA,NA,NA
Alienacanthomysis macropsis,91914,Alienacanthomysis macropsis,species,Animalia,91913,Alienacanthomysis,6,NA,NA,NA
Alpheopsis equidactylus,1075735,Alpheopsis equidactylus,species,Animalia,173943,Alpheopsis,3,NA,NA,NA
Alpheus,84068,Alpheus,genus,Animalia,1527,Alpheidae,1957,FLTWO/FTP_0073-2+1414545732.JPG,1.502,Alpheus
Alpheus bellimanus,893589,Alpheus bellimanus,species,Animalia,84068,Alpheus,10,DISA/3347_Alpheus_bellimanus__LH_NPS2016_84_final+1485992014.jpg,1.798,Alpheus bellimanus
Alpheus clamator,296212,Alpheus clamator,species,Animalia,84068,Alpheus,11,CNOI/KFM-304+1272594900.jpg,0.867,Alpheus clamator
Alvania,306816,Alvania,genus,Animalia,856,Rissoidae,129,ICBA/ZMBN_137171_V+1661194850.jpg,1.499,Alvania
Alvania compacta,770957,Alvania compacta,species,Animalia,306816,Alvania,21,LHABC/BIOUG48552_F05.1+1637107781.jpg,1.504,Alvania compacta
Alvania rosana,770958,Alvania rosana,species,Animalia,306816,Alvania,6,LHABC/BIOUG48552_G06.2+1637109043.JPG,1.499,Alvania rosana
Amaeana occidentalis,370424,Amaeana occidentalis,species,Animalia,201743,Amaeana,32,HZPLY/BIOUG06647-A07-1+1374276638.jpg,0.941,Amaeana occidentalis
Amage anops,370426,Amage anops,species,Animalia,370425,Amage,5,CMBIA/00143Amage_anopsDorsal2VRR+1321990452.jpg,1.333,Amage anops
Amathia distans,400017,Amathia distans,species,Animalia,352695,Amathia,17,MLMLA/bioug01534-a06+1320254666.JPG,1.331,Amathia distans
Amblyops,27767,Amblyops,genus,Animalia,1718,Mysidae,10,CUMNB/UMBergen_NB_mysi21+1393855502.jpg,1.333,NA
Amblyops abbreviatus,776844,Amblyops abbreviatus,species,Animalia,27767,Amblyops,9,CUMNB/UMBergen_NB_mysi21+1393855502.jpg,1.333,Amblyops abbreviatus
Americhelidium,803368,Americhelidium,genus,Animalia,1607,Oedicerotidae,24,QHAK/ZHAK-01854-00004+1662075675.jpg,0.667,Americhelidium
Americhelidium rectipalmum,973577,Americhelidium rectipalmum,species,Animalia,803368,Americhelidium,2,BHAK/dHAKB_00560a+1582145701.jpg,1.257,Americhelidium rectipalmum
Ammothea hilgendorfi,103184,Ammothea hilgendorfi,species,Animalia,103183,Ammothea,6,NA,NA,NA
Ampelisca,88667,Ampelisca,genus,Animalia,1596,Ampeliscidae,444,WWAMP/bioug01329-c07+1315335974.jpg,1.333,Ampelisca
Ampelisca agassizi,370388,Ampelisca agassizi,species,Animalia,88667,Ampelisca,11,CMBIA/00568Ampelisca_agassiziVRR+1351801074.jpg,1.333,Ampelisca agassizi
Ampelisca brachycladus,299394,Ampelisca brachycladus,species,Animalia,88667,Ampelisca,3,CMBIA/IMGP7935Corr+1282152364.jpg,1.506,Ampelisca brachycladus
Ampelisca brevisimulata,299412,Ampelisca brevisimulata,species,Animalia,88667,Ampelisca,4,CMBIA/IMGP7982Corr+1282152098.jpg,1.162,Ampelisca brevisimulata
Ampelisca careyi,370389,Ampelisca careyi,species,Animalia,88667,Ampelisca,20,CMBIA/00578Ampelisca_careyiVRR+1351801092.jpg,1.333,Ampelisca careyi
Ampelisca hancocki,370391,Ampelisca hancocki,species,Animalia,88667,Ampelisca,6,CMBIA/00107Ampelisca_hancockiVRRWScale+1320969400.jpg,1.333,Ampelisca hancocki
Ampelisca indentata,1075738,Ampelisca indentata,species,Animalia,88667,Ampelisca,2,NA,NA,NA
Ampelisca lobata,973579,Ampelisca lobata,species,Animalia,88667,Ampelisca,4,LHABC/CCDB31224_F06.2+1632764655.JPG,1.499,Ampelisca lobata
Ampelisca pacifica,370392,Ampelisca pacifica,species,Animalia,88667,Ampelisca,1,CMBIA/00108Ampelisca_pacificaVRR+1321990422.jpg,1.333,Ampelisca pacifica
Ampelisca pugetica,299413,Ampelisca pugetica,species,Animalia,88667,Ampelisca,8,CMBIA/IMGP7991New+1284059338.jpg,1.506,Ampelisca pugetica
Ampharete,177409,Ampharete,genus,Animalia,214495,Ampharetinae,334,POLNB/UMBergen_NB_amphar01+1361197454.jpg,1.333,Ampharete
Ampharete acutifrons,177410,Ampharete acutifrons,species,Animalia,177409,Ampharete,40,CMBIA/00370Ampharete_acutifrons_Lateral_P94501+1298565540.jpg,1.333,Ampharete acutifrons
Ampharete finmarchica,524776,Ampharete finmarchica,species,Animalia,177409,Ampharete,32,TODAH/ZMBN_104853+1442341840.jpg,1.499,Ampharete finmarchica
Ampharete goesi,177964,Ampharete goesi,species,Animalia,177409,Ampharete,1,NA,NA,NA
Ampharete labrops,205826,Ampharete labrops,species,Animalia,177409,Ampharete,6,BCPOL/BAMPOL0363+1217344470.JPG,1.499,Ampharete labrops
Amphichondrius granulatus,218427,Amphichondrius granulatus,species,Animalia,218426,Amphichondrius,5,OOPH/Amphichondrius_granulatus+1652886068.jpg,1.838,Amphichondrius granulatus
Amphicteis,274195,Amphicteis,genus,Animalia,214495,Ampharetinae,167,MIWAP/ZMBN_98149+1424897412.JPG,1.499,Amphicteis
Amphicteis mucronata,808503,Amphicteis mucronata,species,Animalia,274195,Amphicteis,1,FHL/BMBM-0798+1522880304.JPG,1.322,Amphicteis mucronata
Amphicteis scaphobranchiata,370427,Amphicteis scaphobranchiata,species,Animalia,274195,Amphicteis,2,CMBIA/00145Amphicteis_scaphobranchiataDorsal2VRR+1321990454.jpg,1.333,Amphicteis scaphobranchiata
Amphideutopus oculatus,299381,Amphideutopus oculatus,species,Animalia,299380,Amphideutopus,4,CMBIA/00530Amphideutopus_oculatusLateralVRR+1326752814.jpg,1.333,Amphideutopus oculatus
Amphiduros,83157,Amphiduros,genus,Animalia,25266,Hesionidae,9,NA,NA,NA
Amphiodia,140278,Amphiodia,genus,Animalia,80325,Amphiuridae,153,DSPEC/Bamfield_08_545+1224552398.jpg,1.535,Amphiodia
Amphiodia digitata,218453,Amphiodia digitata,species,Animalia,140278,Amphiodia,8,NA,NA,NA
Amphiodia psara,218476,Amphiodia psara,species,Animalia,140278,Amphiodia,2,NA,NA,NA
Amphiodia urtica,160325,Amphiodia urtica,species,Animalia,140278,Amphiodia,56,OOPH/20190423_180609.27_L+1657323558.jpg,1.333,Amphiodia urtica
Amphioplus,218492,Amphioplus,genus,Animalia,80325,Amphiuridae,352,DSPEC/Bamfield_08_116+1224037098.jpg,1.24,Amphioplus
Amphioplus strongyloplax,218599,Amphioplus strongyloplax,species,Animalia,218492,Amphioplus,3,NA,NA,Amphioplus strongyloplax
Amphipholis,84439,Amphipholis,genus,Animalia,80325,Amphiuridae,271,DSPEC/BAM00068b+1334683266.JPG,1.333,Amphipholis
Amphipholis pugetana,218635,Amphipholis pugetana,species,Animalia,84439,Amphipholis,9,OLAB/20181114_133335.59_L_scale100+1657322691.jpg,1.333,Amphipholis pugetana
Amphipholis squamata,84451,Amphipholis squamata,species,Animalia,84439,Amphipholis,146,OPHNB/UMBergen_NB_ophiu01_1+1384792106.jpg,1.499,Amphipholis squamata
Amphiporus,25931,Amphiporus,genus,Animalia,1815,Amphiporidae,165,OPQCS/bn2010-024+1289217344.jpg,1.333,Amphiporus
Amphiporus cruentatus,955894,Amphiporus cruentatus,species,Animalia,25931,Amphiporus,5,POIMB/dOIMB_05074a+1569536970.jpg,1.557,Amphiporus cruentatus
Amphisamytha bioculata,668622,Amphisamytha bioculata,species,Animalia,198156,Amphisamytha,3,NA,NA,NA
Amphissa,277353,Amphissa,genus,Animalia,84900,Columbellidae,137,BCMOL/10BCMOL-00019b+1299526032.jpg,1.333,Amphissa
Amphissa bicolor,981352,Amphissa bicolor,species,Animalia,277353,Amphissa,1,NA,NA,NA
Amphissa versicolor,277354,Amphissa versicolor,species,Animalia,277353,Amphissa,5,BCMOL/10BCMOL-00404+1335235044.JPG,1.506,Amphissa versicolor
Neoamphitrite robusta,497231,Neoamphitrite robusta,species,Animalia,208753,Neoamphitrite,11,BHAK/An_Neoamphitrite_robusta_BHAK-0025dHAK_00196+1602546740.JPG,1.245,Neoamphitrite robusta
Amphiura,99934,Amphiura,genus,Animalia,80325,Amphiuridae,752,MIWAE/UMBergen_MBOWA_ophiu43_2+1365527370.jpg,1.499,Amphiura
Amphiura arcystata,218672,Amphiura arcystata,species,Animalia,99934,Amphiura,3,NA,NA,NA
Amphiura diomedeae,140276,Amphiura diomedeae,species,Animalia,99934,Amphiura,5,DSPEC/IMG_1188+1221331510.JPG,1.002,Amphiura diomedeae
Ampithoe,81311,Ampithoe,genus,Animalia,527077,Ampithoinae,402,NBAMP/HA_0016+1221053278.JPG,1.5,Ampithoe
Ampithoe lacertosa,314183,Ampithoe lacertosa,species,Animalia,81311,Ampithoe,38,NJCGS/IMG_7372+1297888522.jpg,1.333,Ampithoe lacertosa
Ampithoe longimana,81312,Ampithoe longimana,species,Animalia,81311,Ampithoe,47,WWGSL/L191AR1-05+1219777510.jpg,1.317,Ampithoe longimana
Ampithoe plumulosa,753839,Ampithoe plumulosa,species,Animalia,81311,Ampithoe,6,"DISA/6104_2017_02_07_12_12_15_[B,Radius8,Smoothing4]+1486498340.jpg",1.499,Ampithoe plumulosa
Ampithoe ramondi,739799,Ampithoe ramondi,species,Animalia,81311,Ampithoe,25,BMFVF/BBWB2AR01_HABITUS+1595952566.jpg,1.333,Ampithoe ramondi
Ampithoe valida,171008,Ampithoe valida,species,Animalia,81311,Ampithoe,99,VAFIV/WCH_0701_0094_C_ARMS1_10ml1+1399593104.jpg,1.333,Ampithoe valida
Ancistrosyllis,660278,Ancistrosyllis,genus,Animalia,125414,Pilargidae,11,NA,NA,NA
Ancistrosyllis groenlandica,660279,Ancistrosyllis groenlandica,species,Animalia,660278,Ancistrosyllis,2,NA,NA,NA
Ancistrosyllis hamata,1150654,Ancistrosyllis hamata,species,Animalia,660278,Ancistrosyllis,2,NA,NA,NA
Anobothrus,156139,Anobothrus,genus,Animalia,214495,Ampharetinae,270,POLNB/UMBergen_NB_amphar107+1371834512.jpg,1.333,Anobothrus
Anobothrus gracilis,516036,Anobothrus gracilis,species,Animalia,156139,Anobothrus,32,POLNB/UMBergen_NB_amphar66+1361197474.jpg,1.499,Anobothrus gracilis
Anonyx lilljeborgi,1265067,Anonyx lilljeborgi,species,Animalia,5331,Anonyx,35,CMBIA/00603Anonyx_illjeborgiVRRHiRes+1351801130.jpg,1.333,Anonyx lilljeborgi
Anoplodactylus,88403,Anoplodactylus,genus,Animalia,88402,Phoxichilidiidae,130,IBAH/IMG_3057+1225898680.JPG,1.499,Anoplodactylus
Anoplodactylus californicus,103220,Anoplodactylus californicus,species,Animalia,88403,Anoplodactylus,10,NA,NA,Anoplodactylus californicus
Anoplodactylus erectus,103188,Anoplodactylus erectus,species,Animalia,88403,Anoplodactylus,1,NA,NA,NA
Anoplodactylus viridintestinalis,103189,Anoplodactylus viridintestinalis,species,Animalia,88403,Anoplodactylus,2,NA,NA,NA
Anthoptilum grandiflorum,395043,Anthoptilum grandiflorum,species,Animalia,395042,Anthoptilum,20,OOBKJ/IMG_5907+1531936142.JPG,1.499,Anthoptilum grandiflorum
Antinoe,595365,Catonephele antinoe,species,Animalia,7097,Catonephele,2,NA,NA,NA
Antiplanes,293179,Antiplanes,genus,Animalia,353048,Pseudomelatomidae,5,LACSA/DNA_trawl_invert_Antiplanes_catalinae_T0-305_plate1_cell_H5Lighter_+1284580956.jpg,1.333,NA
Antiplanes catalinae,293180,Antiplanes catalinae,species,Animalia,293179,Antiplanes,1,LACSA/DNA_trawl_invert_Antiplanes_catalinae_T0-305_plate1_cell_H5Lighter_+1284580956.jpg,1.333,Antiplanes catalinae
Antiplanes thalea,981357,Antiplanes thalea,species,Animalia,293179,Antiplanes,1,NA,NA,NA
Aonides,190353,Aonides,genus,Animalia,32473,Spionidae,32,POLNB/ZMBN_104670+1431535866.jpg,1.333,Aonides
Aoroides,314170,Aoroides,genus,Animalia,88673,Aoridae,63,BCAMP/BCAMP086-08__BCAMP0086+1217277898.JPG,1.499,Aoroides
Aoroides columbiae,675365,Aoroides columbiae,species,Animalia,314170,Aoroides,8,NA,NA,Aoroides columbiae
Aoroides exilis,803353,Aoroides exilis,species,Animalia,314170,Aoroides,11,BHAK/dHAKB_01884a+1646090899.jpg,1.333,Aoroides exilis
Aoroides inermis,981058,Aoroides inermis,species,Animalia,314170,Aoroides,2,BHAK/dHAKB_03634a+1645565767.jpg,1.322,Aoroides inermis
Aoroides intermedius,314184,Aoroides intermedius,species,Animalia,314170,Aoroides,13,NJCGS/10biobc-00952+1295035146.jpg,1.333,Aoroides intermedius
Aoroides secunda,1147571,Aoroides secunda,species,Animalia,314170,Aoroides,1,NA,NA,NA
Aphelochaeta,190374,Aphelochaeta,genus,Animalia,83730,Cirratulidae,538,POLNB/UMBergen_NB_polych506+1399397378.JPG,1.499,Aphelochaeta
Aphelochaeta monilaris,955697,Aphelochaeta monilaris,species,Animalia,190374,Aphelochaeta,12,BBPS/dFHL_11415a+1585277630.jpg,1.401,Aphelochaeta monilaris
Aphelochaeta phillipsi,370429,Aphelochaeta phillipsi,species,Animalia,190374,Aphelochaeta,1,CMBIA/00148Aphelochaeta_phillipsiMixedVRR+1321990458.jpg,1.333,Aphelochaeta phillipsi
Aphrodita,157446,Aphrodita,genus,Animalia,125402,Aphroditidae,126,BCPOL/BC-027+1211476814.jpg,1.499,Aphrodita
Aphrodita japonica,293166,Aphrodita japonica,species,Animalia,157446,Aphrodita,3,LACSA/DNA_trawl_invert_Aphrodita_japonica_or_negligens_T0-305_plate_1_cell_F12_-_G6Lighter+1288208286.jpg,1.333,Aphrodita japonica
Aphrodita refulgida,293151,Aphrodita refulgida,species,Animalia,157446,Aphrodita,2,LACSA/DNA_trawl_invert_Aphrodita_refulgida_T4-23_plate_1_cell_E6Lighter+1288208314.jpg,1.506,Aphrodita refulgida
Apionsoma misakianum,79160,Apionsoma misakianum,species,Animalia,79159,Apionsoma,8,NA,NA,NA
Apionsoma murinae,216442,Apionsoma murinae,species,Animalia,79159,Apionsoma,1,NA,NA,NA
Apistobranchus,641109,Apistobranchus,genus,Animalia,125426,Apistobranchidae,13,PONOR/NTNU-VM-75174+1576688540.jpg,1.333,Apistobranchus
Aplysiopsis enteromorphae,302900,Aplysiopsis enteromorphae,species,Animalia,302899,Aplysiopsis,11,GASSC/BIOUG01229_H05+1482536572.jpg,1.4,Aplysiopsis enteromorphae
Arabella,83439,Arabella,genus,Animalia,81498,Oenonidae,48,POMEX/ECOSUR-OH-P1038+1467485789.jpg,0.424,Arabella
Araphura,714532,Araphura,genus,Animalia,516824,Tanaellidae,6,BBPS/dFHL_13744a+1585367048.jpg,2.222,NA
Araphura breviaria,955723,Araphura breviaria,species,Animalia,714532,Araphura,3,BBPS/dFHL_13744a+1585367048.jpg,2.222,Araphura breviaria
Archaeomysis grebnitzkii,91918,Archaeomysis grebnitzkii,species,Animalia,91917,Archaeomysis,7,NA,NA,NA
Argissa hamatipes,455799,Argissa hamatipes,species,Animalia,455798,Argissa,12,BNSA/MT03125+1418667792.jpg,0.895,Argissa hamatipes
Argopecten ventricosus,901243,Argopecten ventricosus,species,Animalia,88407,Argopecten,2,NA,NA,NA
Aricidea,122726,Aricidea,genus,Animalia,122725,Paraonidae,293,POLNB/ZMBN_95784+1403025158.jpg,1.333,Aricidea
Aricidea antennata,370434,Aricidea antennata,species,Animalia,122726,Aricidea,6,CMBIA/00153Aricidea[Allia]antennataMixedVRR+1321990464.jpg,1.333,Aricidea antennata
Aricidea catherinae,370432,Aricidea catherinae,species,Animalia,122726,Aricidea,16,POLNB/ZMBN_95784+1403025158.jpg,1.333,Aricidea catherinae
Aricidea cerrutii,706580,Aricidea cerrutii,species,Animalia,122726,Aricidea,12,POLNB/ZMBN_104664+1431535870.jpg,1.333,Aricidea cerrutii
Aricidea lopezi,955715,Aricidea lopezi,species,Animalia,122726,Aricidea,9,BBPS/dFHL_14588a+1585410972.jpg,1.441,Aricidea lopezi
Aricidea pacifica,497213,Aricidea pacifica,species,Animalia,122726,Aricidea,9,HZPLY/BIOUG06647-F04-3+1375315250.jpg,1.553,Aricidea pacifica
Aricidea simplex,370433,Aricidea simplex,species,Animalia,122726,Aricidea,8,CMBIA/00503Aricidea_simplexDorsalVRR+1326752778.jpg,1.333,Aricidea simplex
Aricidea wassi,660285,Aricidea wassi,species,Animalia,122726,Aricidea,5,POLNB/ZMBN_126891+1559046988.jpg,1.333,Aricidea wassi
Aristias,273981,Aristias,genus,Animalia,273980,Aristiidae,11,AMPNB/UMBergen_NB_amp18+1359559750.JPG,1.499,NA
Armandia brevis,205793,Armandia brevis,species,Animalia,205792,Armandia,56,KBPOL/11bioak-1444+1308658612.jpg,1.333,Armandia brevis
Armina californica,277029,Armina californica,species,Animalia,277028,Armina,14,MXQCS/JLKS-004__021+1214488804.JPG,1.499,Armina californica
Artacama coniferi,955689,Artacama coniferi,species,Animalia,256925,Artacama,8,BBPS/dFHL_11661a+1585281288.jpg,1.058,Artacama coniferi
Aruga oculata,1075746,Aruga oculata,species,Animalia,1075745,Aruga,1,NA,NA,NA
Asabellides,156485,Asabellides,genus,Animalia,82542,Ampharetidae,31,ARCMI/BIOUG14667-H11+1415128272.JPG,1.499,Asabellides
Ascidia,3020,Ascidia,genus,Animalia,1211,Ascidiidae,423,ASCAN/P5ASCA405+1299596700.jpg,0.746,Ascidia
Asclerocheilus kudenovi,1075747,Asclerocheilus kudenovi,species,Animalia,540835,Asclerocheilus,1,NA,NA,NA
Angustassiminea californica,955609,Angustassiminea californica,species,Animalia,955608,Angustassiminea,2,POIMB/dOIMB_02448a+1572025556.jpg,1.331,Angustassiminea californica
Astropecten,24748,Astropecten,genus,Animalia,24747,Astropectinidae,414,NSECH/MT03617+1386169746.jpg,1.333,Astropecten
Astropecten armatus,220546,Astropecten armatus,species,Animalia,24748,Astropecten,8,LACSA/DNA_trawl_invert_Astropecten_armatus_T5-23_plate_1_cell_H8Lighter+1288208348.jpg,1.333,Astropecten armatus
Astropecten californicus,895631,Astropecten californicus,species,Animalia,24748,Astropecten,10,ECHCA/CCDB-31778_B02+1527019016.jpg,1.4,Astropecten californicus
Alia gausapata,508708,Alia gausapata,species,Animalia,495450,Alia,16,RBCMI/BIOUG12670-H06[B]+1401812160.jpg,1.359,Alia gausapata
Alia permodesta,600864,Alia permodesta,species,Animalia,495450,Alia,2,RBCMI/DSC_2833+1443641968.JPG,1.499,Alia permodesta
Axinopsida serricata,299423,Axinopsida serricata,species,Animalia,299422,Axinopsida,75,AKMOL/11BIOAK-0701+1319912428.jpg,1.333,Axinopsida serricata
Axiothella,205780,Axiothella,genus,Animalia,27308,Maldanidae,40,KBPOL/11BIOAK-1262+1308330500.jpg,1.499,Axiothella
Balanoglossus,5391,Balanoglossus,genus,Animalia,401,Ptychoderidae,13,NA,NA,NA
Balanus,27882,Balanus,genus,Animalia,271737,Balaninae,4152,DFO/P5305055+1306775406.JPG,1.333,Balanus
Melanella micans,600867,Melanella micans,species,Animalia,84917,Melanella,4,LHABC/BIOUG48552_F12.1+1637108336.jpg,1.502,Melanella micans
Barleeia,656458,Barleeia,genus,Animalia,531653,Barleeiidae,8,DSGAS/CM37-_Barleeia_unifasciata_copy+1577317628.jpg,0.568,Barleeia
Barleeia haliotiphila,770959,Barleeia haliotiphila,species,Animalia,656458,Barleeia,1,NA,NA,Barleeia haliotiphila
Baseodiscus delineatus,942209,Baseodiscus delineatus,species,Animalia,671427,Baseodiscus,12,NA,NA,NA
Bathybembix bairdii,722709,Bathybembix bairdii,species,Animalia,722708,Bathybembix,2,RBCMI/DSC_2620+1443641932.JPG,1.499,Bathybembix bairdii
Bathymedon,512568,Bathymedon,genus,Animalia,1607,Oedicerotidae,35,AMPNB/UMBergen_NB_amp25+1359559752.JPG,1.495,Bathymedon
Bathymedon pumilus,955717,Bathymedon pumilus,species,Animalia,512568,Bathymedon,1,BBPS/dFHL_14658a+1585412000.jpg,1.468,Bathymedon pumilus
Belonectes,1222832,Belonectes,genus,Animalia,174983,Eurycopinae,1,NA,NA,NA
Bemlos,149559,Bemlos,genus,Animalia,88673,Aoridae,8,CBTWO/CBC_0018_7+1449831279.JPG,1.882,Bemlos
Bemlos audbettius,1075753,Bemlos audbettius,species,Animalia,149559,Bemlos,1,NA,NA,NA
Berthella,5937,Berthella,genus,Animalia,1831,Pleurobranchidae,82,OOBKJ/IMG_5782+1550159304.JPG,1.499,Berthella
Berthella californica,976409,Berthella californica,species,Animalia,5937,Berthella,2,OOBKJ/IMG_5782+1550159304.JPG,1.499,Berthella californica
Betaeus,88156,Betaeus,genus,Animalia,1527,Alpheidae,17,POIMB/dOIMB_04549a+1569765268.jpg,1.951,Betaeus
Betaeus harrimani,88157,Betaeus harrimani,species,Animalia,88156,Betaeus,2,RBCMI/IMG_8234+1401974316.JPG,1.499,Betaeus harrimani
Betaeus longidactylus,955944,Betaeus longidactylus,species,Animalia,88156,Betaeus,3,POIMB/dOIMB_04549a+1569765268.jpg,1.951,Betaeus longidactylus
Bipalponephtys cornuta,379470,Bipalponephtys cornuta,species,Animalia,328930,Bipalponephtys,6,NEPH/BcornCalifF1+1308076680.jpg,1.333,Bipalponephtys cornuta
Bispira,100788,Bispira,genus,Animalia,100787,Sabellinae,36,FHL/BMBM-0855+1522880304.JPG,2.25,NA
Blepharipoda occidentalis,8360,Blepharipoda occidentalis,species,Animalia,5654,Blepharipoda,10,CNOI/KFM-296+1272594512.jpg,0.696,Blepharipoda occidentalis
Boccardia,375245,Boccardia,genus,Animalia,32473,Spionidae,150,BBPS/dFHL_14018a+1585368830.jpg,1.248,Boccardia
Boccardia proboscidea,541646,Boccardia proboscidea,species,Animalia,375245,Boccardia,43,HZPLY/BIOUG06646-A08-1+1374111460.jpg,1.199,Boccardia proboscidea
Boccardiella,715047,Boccardiella,genus,Animalia,32473,Spionidae,37,LHABC/BIOUG48554_F08.3+1640390264.jpg,1.502,NA
Boccardiella hamata,715048,Boccardiella hamata,species,Animalia,715047,Boccardiella,30,LHABC/BIOUG48554_F08.3+1640390264.jpg,1.502,Boccardiella hamata
Boreotrophon multicostatus,929427,Boreotrophon multicostatus,species,Animalia,403380,Boreotrophon,1,NA,NA,NA
Borsonella,895645,Borsonella,genus,Animalia,344167,Borsoniidae,2,DISA/4033_img_024+1516653950.jpg,1.499,NA
Botrylloides,198874,Botrylloides,genus,Animalia,974,Styelidae,591,HABFA/ZMBN_130093_[1]+1557931984.JPG,1.499,Botrylloides
Brada,190346,Brada,genus,Animalia,125434,Flabelligeridae,63,CCPOL/NUN0013_+1196368518.JPG,1.499,Brada
