FinalID,tax_rank,phylum,class,order,family,genus,BOLD_Records,BOLD_Records_USA,BOLD_Records_CA,BOLD_Records_SW,BOLD_Records_COI,BOLD_Records_COI_USA,BOLD_Records_COI_CA,BOLD_Records_COI_SW
Actaletidae,family,Arthropoda,Collembola,Entomobryomorpha,Actaletidae,Spinactaletes,17,0,0,0,16,0,0,0
Entomobryidae,family,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,NA,86148,7446,2908,2914,85882,7446,2908,2914
Isotomidae,family,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Isotomurus,8820,74,8,8,8366,70,8,8
Oncopoduridae,family,Arthropoda,Collembola,Entomobryomorpha,Oncopoduridae,OncopoduridaeGEN,9,1,0,0,9,1,0,0
Orchesellinae,subfamily,Arthropoda,Collembola,Entomobryomorpha,Orchesellidae,Orchesella,2234,0,0,0,2226,0,0,0
Paronellidae,family,Arthropoda,Collembola,Entomobryomorpha,Paronellidae,NA,1783,0,0,0,1775,0,0,0
Tomoceridae,family,Arthropoda,Collembola,Entomobryomorpha,Tomoceridae,Tomocerus,2934,227,0,0,2916,227,0,0
Neelidae,family,Arthropoda,Collembola,Neelipleona,Neelidae,NA,257,8,0,0,252,8,0,0
Brachystomellidae,family,Arthropoda,Collembola,Poduromorpha,Brachystomellidae,NA,842,4,0,0,829,4,0,0
Hypogastruridae,family,Arthropoda,Collembola,Poduromorpha,Hypogastruridae,Gomphiocephalus,4527,41,0,0,4432,41,0,0
Neanuridae,family,Arthropoda,Collembola,Poduromorpha,Neanuridae,Friesea,3338,282,0,0,3147,281,0,0
Odontellidae,family,Arthropoda,Collembola,Poduromorpha,Odontellidae,NA,202,0,0,0,197,0,0,0
Onychiuridae,family,Arthropoda,Collembola,Poduromorpha,Onychiuridae,OnychiuridaeGEN,965,2,0,0,909,2,0,0
Poduridae,family,Arthropoda,Collembola,Poduromorpha,Poduridae,Podura,84,1,0,0,69,1,0,0
Armadillidae,family,Arthropoda,Malacostraca,Isopoda,Armadillidae,Troglarmadillo,578,0,0,0,578,0,0,0
Armadillidiidae,family,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,635,81,14,51,634,81,14,51
Ligiidae,family,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia,1652,607,9,9,1212,190,9,9
Philosciidae,family,Arthropoda,Malacostraca,Isopoda,Philosciidae,Philoscia,533,18,0,0,533,18,0,0
Platyarthridae,family,Arthropoda,Malacostraca,Isopoda,Platyarthridae,Platyarthrus,53,0,0,0,53,0,0,0
Porcellionidae,family,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Porcellio,746,42,8,18,716,42,8,18
Scyphacidae,family,Arthropoda,Malacostraca,Isopoda,Scyphacidae,Haloniscus,182,0,0,0,182,0,0,0
Trichoniscidae,family,Arthropoda,Malacostraca,Isopoda,Trichoniscidae,Hyloniscus,319,6,0,0,313,3,0,0
Tylidae,family,Arthropoda,Malacostraca,Isopoda,Tylidae,Tylos,613,1,1,1,613,1,1,1
Armadillidium vulgare,species,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,498,77,12,49,498,77,12,49
Porcellio laevis,species,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Porcellio,32,5,1,4,32,5,1,4
Porcellio dilatatus,species,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Porcellio,11,3,3,3,11,3,3,3
Armadillidium,genus,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,605,81,14,51,604,81,14,51
Porcellionides,genus,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Porcellionides,79,6,1,3,50,6,1,3
Porcellio,genus,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Porcellio,608,32,7,13,607,32,7,13
Tylos punctatus,species,Arthropoda,Malacostraca,Isopoda,Tylidae,Tylos,30,1,1,1,30,1,1,1
Ligidium,genus,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligidium,376,0,0,0,373,0,0,0
Ligia occidentalis,species,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia,58,2,0,0,56,2,0,0
Ligia pallasii,species,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia,89,0,0,0,89,0,0,0
Ligidium gracile,species,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligidium,2,0,0,0,1,0,0,0
Haplophthalmus,genus,Arthropoda,Malacostraca,Isopoda,Trichoniscidae,Haplophthalmus,43,2,0,0,41,1,0,0
Haplophthalmus danicus,species,Arthropoda,Malacostraca,Isopoda,Trichoniscidae,Haplophthalmus,26,2,0,0,24,1,0,0
Brackenridgia,genus,Arthropoda,Malacostraca,Isopoda,Trichoniscidae,Brackenridgia,4,4,0,0,2,2,0,0
Brackenridgia heroldi,species,Arthropoda,Malacostraca,Isopoda,Trichoniscidae,Brackenridgia,4,4,0,0,2,2,0,0
Armadilloniscus,genus,Arthropoda,Malacostraca,Isopoda,Scyphacidae,Armadilloniscus,36,0,0,0,36,0,0,0
Alloniscus,genus,Arthropoda,Malacostraca,Isopoda,Alloniscidae,Alloniscus,5,0,0,0,5,0,0,0
Littorophiloscia,genus,Arthropoda,Malacostraca,Isopoda,Halophilosciidae,Littorophiloscia,17,0,0,0,17,0,0,0
Niambia,genus,Arthropoda,Malacostraca,Isopoda,Platyarthridae,Niambia,4,0,0,0,4,0,0,0
Platyarthrus,genus,Arthropoda,Malacostraca,Isopoda,Platyarthridae,Platyarthrus,42,0,0,0,42,0,0,0
Porcellio scaber,species,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Porcellio,504,22,3,6,503,22,3,6
Venezillo,genus,Arthropoda,Malacostraca,Isopoda,Armadillidae,Venezillo,14,0,0,0,14,0,0,0
Talitridae,family,Arthropoda,Malacostraca,Amphipoda,Talitridae,NA,2964,177,32,32,2920,161,32,32
Arcitalitrus sylvaticus,species,Arthropoda,Malacostraca,Amphipoda,Talitridae,Arcitalitrus,50,0,0,0,50,0,0,0
Talitroides,genus,Arthropoda,Malacostraca,Amphipoda,Talitridae,Talitroides,29,0,0,0,29,0,0,0
Talitroides alluaudi,species,Arthropoda,Malacostraca,Amphipoda,Talitridae,Talitroides,16,0,0,0,16,0,0,0
Talitroides topitotum,species,Arthropoda,Malacostraca,Amphipoda,Talitridae,Talitroides,12,0,0,0,12,0,0,0
Amphizoidae,family,Arthropoda,Insecta,Coleoptera,Amphizoidae,Amphizoa,10,5,1,1,8,3,0,0
Carabidae,family,Arthropoda,Insecta,Coleoptera,Carabidae,NA,49539,23548,911,6198,46740,21696,765,5494
Dytiscidae,family,Arthropoda,Insecta,Coleoptera,Dytiscidae,Liodessus,19424,327,32,68,17847,234,15,44
Gyrinidae,family,Arthropoda,Insecta,Coleoptera,Gyrinidae,Orectogyrus,926,79,7,20,860,58,7,16
Haliplidae,family,Arthropoda,Insecta,Coleoptera,Haliplidae,Haliplus,791,60,0,4,733,37,0,4
Noteridae,family,Arthropoda,Insecta,Coleoptera,Noteridae,Hydrocanthus,287,5,0,3,265,5,0,3
Trachypachidae,family,Arthropoda,Insecta,Coleoptera,Trachypachidae,Trachypachus,36,19,1,3,19,11,1,2
Cupedidae,family,Arthropoda,Insecta,Coleoptera,Cupedidae,Priacma,30,10,2,3,28,8,2,3
Micromalthidae,family,Arthropoda,Insecta,Coleoptera,Micromalthidae,Micromalthus,22,16,0,0,20,14,0,0
Hydroscaphidae,family,Arthropoda,Insecta,Coleoptera,Hydroscaphidae,NA,18,0,0,0,10,0,0,0
Sphaeriusidae,family,Arthropoda,Insecta,Coleoptera,Sphaeriusidae,Sphaerius,27,1,0,1,19,1,0,1
Bostrichidae,family,Arthropoda,Insecta,Coleoptera,Bostrichidae,Apatides,2383,83,24,52,2319,76,24,52
Dermestidae,family,Arthropoda,Insecta,Coleoptera,Dermestidae,Dermestes,1718,230,6,16,1647,225,5,15
Nosodendridae,family,Arthropoda,Insecta,Coleoptera,Nosodendridae,Nosodendron,35,0,0,0,35,0,0,0
Ptinidae,family,Arthropoda,Insecta,Coleoptera,Ptinidae,Caenocara,4899,165,64,85,4748,154,64,85
Buprestidae,family,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,3597,252,17,123,3311,239,17,123
Schizopodidae,family,Arthropoda,Insecta,Coleoptera,Schizopodidae,Dystaxia,4,0,0,0,4,0,0,0
Byrrhidae,family,Arthropoda,Insecta,Coleoptera,Byrrhidae,Simplocaria,330,47,0,0,268,29,0,0
Dryopidae,family,Arthropoda,Insecta,Coleoptera,Dryopidae,Dryops,207,0,0,0,189,0,0,0
Elmidae,family,Arthropoda,Insecta,Coleoptera,Elmidae,Elpidelmis,2945,504,229,247,2765,500,228,246
Eulichadidae,family,Arthropoda,Insecta,Coleoptera,Eulichadidae,Eulichas,10,0,0,0,10,0,0,0
Heteroceridae,family,Arthropoda,Insecta,Coleoptera,Heteroceridae,Heterocerus,289,69,10,21,277,69,10,21
Limnichidae,family,Arthropoda,Insecta,Coleoptera,Limnichidae,NA,256,7,0,7,253,7,0,7
Psephenidae,family,Arthropoda,Insecta,Coleoptera,Psephenidae,Ectopria,451,176,6,7,447,173,6,7
Ptilodactylidae,family,Arthropoda,Insecta,Coleoptera,Ptilodactylidae,Ptilodactyla,4189,40,0,0,4188,40,0,0
Cerambycidae,family,Arthropoda,Insecta,Coleoptera,Cerambycidae,Adetus,21248,1435,80,349,20354,1342,70,318
Chrysomelidae,family,Arthropoda,Insecta,Coleoptera,Chrysomelidae,NA,73964,1761,77,424,73371,1696,73,412
Megalopodidae,family,Arthropoda,Insecta,Coleoptera,Megalopodidae,Zeugophora,115,5,0,1,115,5,0,1
Orsodacnidae,family,Arthropoda,Insecta,Coleoptera,Orsodacnidae,Orsodacne,120,6,3,4,118,6,3,4
Cleridae,family,Arthropoda,Insecta,Coleoptera,Cleridae,Thanasimus,9441,254,15,63,9382,243,15,61
Melyridae,family,Arthropoda,Insecta,Coleoptera,Melyridae,NA,3822,649,29,126,3767,630,25,120
Trogossitidae,family,Arthropoda,Insecta,Coleoptera,Trogossitidae,NA,344,24,0,5,334,23,0,5
Anamorphidae,family,Arthropoda,Insecta,Coleoptera,Anamorphidae,Symbiotes,200,3,0,0,198,3,0,0
Bothrideridae,family,Arthropoda,Insecta,Coleoptera,Bothrideridae,NA,225,3,0,0,210,0,0,0
Coccinellidae,family,Arthropoda,Insecta,Coleoptera,Coccinellidae,Nephus,25585,1051,144,269,25392,1039,142,267
Corylophidae,family,Arthropoda,Insecta,Coleoptera,Corylophidae,Sericoderus,5319,25,10,14,5304,24,10,14
Endomychidae,family,Arthropoda,Insecta,Coleoptera,Endomychidae,Endomychus,737,18,0,0,715,15,0,0
Latridiidae,family,Arthropoda,Insecta,Coleoptera,Latridiidae,Melanophthalma,8564,166,65,71,8504,157,65,71
Mycetaeidae,family,Arthropoda,Insecta,Coleoptera,Mycetaeidae,Mycetaea,15,0,0,0,15,0,0,0
Biphyllidae,family,Arthropoda,Insecta,Coleoptera,Biphyllidae,NA,175,2,0,0,170,2,0,0
Byturidae,family,Arthropoda,Insecta,Coleoptera,Byturidae,Byturus,102,10,0,0,98,10,0,0
Cerylonidae,family,Arthropoda,Insecta,Coleoptera,Cerylonidae,NA,129,1,0,0,121,1,0,0
Cryptophagidae,family,Arthropoda,Insecta,Coleoptera,Cryptophagidae,Atomaria,1607,85,6,12,1536,68,5,11
Cucujidae,family,Arthropoda,Insecta,Coleoptera,Cucujidae,Cucujus,266,22,0,0,247,17,0,0
Erotylidae,family,Arthropoda,Insecta,Coleoptera,Erotylidae,Triplax,1882,73,0,13,1842,63,0,10
Kateretidae,family,Arthropoda,Insecta,Coleoptera,Kateretidae,Brachypterus,200,3,2,2,192,3,2,2
Monotomidae,family,Arthropoda,Insecta,Coleoptera,Monotomidae,Monotoma,602,24,4,6,567,19,1,3
Nitidulidae,family,Arthropoda,Insecta,Coleoptera,Nitidulidae,Glischrochilus,5833,129,8,28,5704,113,5,25
Passandridae,family,Arthropoda,Insecta,Coleoptera,Passandridae,Catogenus,24,0,0,0,24,0,0,0
Phalacridae,family,Arthropoda,Insecta,Coleoptera,Phalacridae,Olibrus,3234,21,0,5,3219,18,0,5
Silvanidae,family,Arthropoda,Insecta,Coleoptera,Silvanidae,Uleiota,1012,25,0,0,976,23,0,0
Smicripidae,family,Arthropoda,Insecta,Coleoptera,Smicripidae,Smicrips,318,0,0,0,318,0,0,0
Sphindidae,family,Arthropoda,Insecta,Coleoptera,Sphindidae,NA,176,4,0,0,154,4,0,0
Anthribidae,family,Arthropoda,Insecta,Coleoptera,Anthribidae,Euparius,2926,45,1,3,2826,38,1,3
Attelabidae,family,Arthropoda,Insecta,Coleoptera,Attelabidae,Caenorhinus,921,29,2,14,890,24,2,12
Brentidae,family,Arthropoda,Insecta,Coleoptera,Brentidae,Podapion,7910,52,1,13,7759,45,1,12
Curculionidae,family,Arthropoda,Insecta,Coleoptera,Curculionidae,NA,67293,1879,69,236,63837,1686,52,192
Nemonychidae,family,Arthropoda,Insecta,Coleoptera,Nemonychidae,Atopomacer,13,0,0,0,10,0,0,0
Dascillidae,family,Arthropoda,Insecta,Coleoptera,Dascillidae,Dascillus,49,3,3,3,40,3,3,3
Rhipiceridae,family,Arthropoda,Insecta,Coleoptera,Rhipiceridae,Rhipicera,14,1,0,1,14,1,0,1
Derodontidae,family,Arthropoda,Insecta,Coleoptera,Derodontidae,Derodontus,1035,393,0,0,1033,391,0,0
Artematopodidae,family,Arthropoda,Insecta,Coleoptera,Artematopodidae,Eurypogon,146,4,0,0,146,4,0,0
Cantharidae,family,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,9652,289,28,53,9557,285,28,52
Cerophytidae,family,Arthropoda,Insecta,Coleoptera,Cerophytidae,Cerophytum,83,0,0,0,82,0,0,0
Elateridae,family,Arthropoda,Insecta,Coleoptera,Elateridae,Aeolus,20067,1269,95,205,19343,1131,87,197
Eucnemidae,family,Arthropoda,Insecta,Coleoptera,Eucnemidae,Microrhagus,3002,59,0,1,2938,59,0,1
Lampyridae,family,Arthropoda,Insecta,Coleoptera,Lampyridae,Pyropyga,5548,476,2,22,5470,475,2,22
Lycidae,family,Arthropoda,Insecta,Coleoptera,Lycidae,Dictyoptera,2891,68,0,10,2884,67,0,10
Omethidae,family,Arthropoda,Insecta,Coleoptera,Omethidae,Drilonius,187,2,0,1,187,2,0,1
Phengodidae,family,Arthropoda,Insecta,Coleoptera,Phengodidae,NA,1155,47,14,38,1120,46,14,37
Throscidae,family,Arthropoda,Insecta,Coleoptera,Throscidae,NA,13330,268,2,10,13310,268,2,10
Histeridae,family,Arthropoda,Insecta,Coleoptera,Histeridae,Plegaderus,1421,70,4,9,1179,45,0,5
Sphaeritidae,family,Arthropoda,Insecta,Coleoptera,Sphaeritidae,Sphaerites,16,4,0,0,12,2,0,0
Hydrophilidae,family,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Sphaeridium,4693,332,23,92,4385,298,18,86
Geotrupidae,family,Arthropoda,Insecta,Coleoptera,Geotrupidae,Frickius,605,33,0,5,600,30,0,5
Glaphyridae,family,Arthropoda,Insecta,Coleoptera,Glaphyridae,Eulasia,193,5,1,4,188,2,1,1
Glaresidae,family,Arthropoda,Insecta,Coleoptera,Glaresidae,Glaresis,15,9,1,6,15,9,1,6
Hybosoridae,family,Arthropoda,Insecta,Coleoptera,Hybosoridae,Phaeochrous,522,25,1,9,329,19,1,9
Lucanidae,family,Arthropoda,Insecta,Coleoptera,Lucanidae,Pycnosiphorus,2489,18,2,2,2468,18,2,2
Scarabaeidae,family,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Cotinis,21054,1820,130,548,19977,1646,123,491
Trogidae,family,Arthropoda,Insecta,Coleoptera,Trogidae,Trox,172,23,0,11,146,16,0,8
Clambidae,family,Arthropoda,Insecta,Coleoptera,Clambidae,Clambus,155,0,0,0,146,0,0,0
Eucinetidae,family,Arthropoda,Insecta,Coleoptera,Eucinetidae,Eucinetus,403,26,0,0,387,24,0,0
Scirtidae,family,Arthropoda,Insecta,Coleoptera,Scirtidae,Contacyphon,5235,34,2,4,5185,32,1,3
Agyrtidae,family,Arthropoda,Insecta,Coleoptera,Agyrtidae,Ipelates,44,18,0,0,32,12,0,0
Hydraenidae,family,Arthropoda,Insecta,Coleoptera,Hydraenidae,Hydraena,2437,6,0,0,2416,4,0,0
Leiodidae,family,Arthropoda,Insecta,Coleoptera,Leiodidae,Zeadolopus,4637,208,0,2,3935,177,0,1
Ptiliidae,family,Arthropoda,Insecta,Coleoptera,Ptiliidae,NA,1701,47,0,1,1657,47,0,1
Silphidae,family,Arthropoda,Insecta,Coleoptera,Silphidae,Oiceoptoma,1341,164,11,11,1297,161,11,11
Staphylinidae,family,Arthropoda,Insecta,Coleoptera,Staphylinidae,Anotylus,56049,1897,70,196,53366,1575,65,187
Aderidae,family,Arthropoda,Insecta,Coleoptera,Aderidae,NA,3425,15,0,3,3413,15,0,3
Anthicidae,family,Arthropoda,Insecta,Coleoptera,Anthicidae,Anthicus,2805,170,24,113,2695,158,19,108
Boridae,family,Arthropoda,Insecta,Coleoptera,Boridae,Lecontia,16,0,0,0,14,0,0,0
Ciidae,family,Arthropoda,Insecta,Coleoptera,Ciidae,Cis,1065,33,0,0,991,28,0,0
Melandryidae,family,Arthropoda,Insecta,Coleoptera,Melandryidae,Symphora,1340,42,4,4,1299,38,4,4
Meloidae,family,Arthropoda,Insecta,Coleoptera,Meloidae,NA,2250,619,3,127,2218,606,2,126
Mordellidae,family,Arthropoda,Insecta,Coleoptera,Mordellidae,NA,11964,467,9,21,11881,459,8,20
Mycetophagidae,family,Arthropoda,Insecta,Coleoptera,Mycetophagidae,NA,1558,25,7,12,1530,25,7,12
Oedemeridae,family,Arthropoda,Insecta,Coleoptera,Oedemeridae,NA,1318,127,21,56,1262,125,20,55
Prostomidae,family,Arthropoda,Insecta,Coleoptera,Prostomidae,Prostomis,5,0,0,0,5,0,0,0
Pyrochroidae,family,Arthropoda,Insecta,Coleoptera,Pyrochroidae,Pedilus,439,27,0,1,433,25,0,1
Pythidae,family,Arthropoda,Insecta,Coleoptera,Pythidae,Pytho,60,7,0,0,49,7,0,0
Ripiphoridae,family,Arthropoda,Insecta,Coleoptera,Ripiphoridae,Pelecotoma,172,15,0,10,172,15,0,10
Salpingidae,family,Arthropoda,Insecta,Coleoptera,Salpingidae,Rhinosimus,452,12,2,2,444,10,0,0
Scraptiidae,family,Arthropoda,Insecta,Coleoptera,Scraptiidae,NA,7912,321,27,65,7896,316,27,65
Stenotrachelidae,family,Arthropoda,Insecta,Coleoptera,Stenotrachelidae,Cephaloon,128,5,0,0,128,5,0,0
Tenebrionidae,family,Arthropoda,Insecta,Coleoptera,Tenebrionidae,NA,10757,669,96,422,10454,640,93,400
Tetratomidae,family,Arthropoda,Insecta,Coleoptera,Tetratomidae,NA,188,14,0,0,172,9,0,0
Zopheridae,family,Arthropoda,Insecta,Coleoptera,Zopheridae,Synchita,1855,19,4,8,1837,18,4,8
Ptinus,genus,Arthropoda,Insecta,Coleoptera,Ptinidae,Ptinus,154,9,4,6,121,6,4,6
Cartodere,genus,Arthropoda,Insecta,Coleoptera,Latridiidae,Cartodere,529,6,1,1,523,5,1,1
Stephostethus,genus,Arthropoda,Insecta,Coleoptera,Latridiidae,Stephostethus,158,4,0,0,151,3,0,0
Berginus,genus,Arthropoda,Insecta,Coleoptera,Mycetophagidae,Berginus,12,3,3,3,12,3,3,3
Prostomis,genus,Arthropoda,Insecta,Coleoptera,Prostomidae,Prostomis,4,0,0,0,4,0,0,0
Alaudes,genus,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Alaudes,1,1,0,0,1,1,0,0
Eleodes,genus,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,289,112,24,101,275,108,21,98
Heterosilpha,genus,Arthropoda,Insecta,Coleoptera,Silphidae,Heterosilpha,6,0,0,0,6,0,0,0
Sanfilippodytes,genus,Arthropoda,Insecta,Coleoptera,Dytiscidae,Sanfilippodytes,23,5,0,0,23,5,0,0
Prolixocupes,genus,Arthropoda,Insecta,Coleoptera,Cupedidae,Prolixocupes,1,1,0,1,1,1,0,1
Alaudes singularis,species,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Alaudes,1,1,0,0,1,1,0,0
Heterosilpha ramosa,species,Arthropoda,Insecta,Coleoptera,Silphidae,Heterosilpha,6,0,0,0,6,0,0,0
Prolixocupes lobiceps,species,Arthropoda,Insecta,Coleoptera,Cupedidae,Prolixocupes,1,1,0,1,1,1,0,1
