objectid,siteid,estuaryname,stationno,samplecollectiondate,transectreplicate,plotreplicate,substrate,covertype,scientificname,commonname,status,estimatedcover,percentcovercode,daubenmiremidpoint,tallestplantheight_cm,percentcovernotes,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,habitat,live_dead,submissionid,warnings,identificationnotes,unknownreplicate,projectid
1270,SC-GOL,Goleta Slough,1,25/3/2021 00:00:00,1,5,Not recorded,vegetation,Cuscuta salina,salt dodder,native,15,3,15,-88,Not recorded,{CB6E6F58-6FCD-4BE9-B5AA-57DD4D9BA290},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Dead,1637789686,,-88,-88,EMPA
1271,SC-GOL,Goleta Slough,1,25/3/2021 00:00:00,1,5,Not recorded,vegetation,Cuscuta salina,salt dodder,native,5,2,3,-88,Not recorded,{A0667F98-3D43-47E9-9320-921E341015FF},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Live,1637789686,,-88,-88,EMPA
4024,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,2,5,Mud,vegetation,Batis maritima,saltwort,native,15,3,15,22,,{2DD372D8-4A82-4F59-ACA4-794C258D90E1},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
1275,SC-GOL,Goleta Slough,1,25/3/2021 00:00:00,1,1,Not recorded,vegetation,Atriplex sp.,saltbush,Not recorded,40,4,37.5,30,Not recorded,{0AD303F4-DA94-4201-B60F-5BE93FB599F1},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Live,1637789686,,-88,-88,EMPA
1276,SC-GOL,Goleta Slough,1,25/3/2021 00:00:00,1,3,Not recorded,vegetation,Atriplex sp.,saltbush,Not recorded,5,2,3,40,Not recorded,{6637F4B9-AB7D-484D-A890-B758F18AB3FA},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Live,1637789686,,-88,-88,EMPA
1277,SC-GOL,Goleta Slough,1,25/3/2021 00:00:00,1,1,Not recorded,vegetation,Distichlis spicata,salt grass,native,20,3,15,-88,Not recorded,{5DB6EF38-4AE2-4801-B093-E92F488321AE},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Live,1637789686,,-88,-88,EMPA
1278,SC-GOL,Goleta Slough,1,25/3/2021 00:00:00,1,2,Not recorded,vegetation,Distichlis spicata,salt grass,native,5,2,3,20,Not recorded,{BA156765-91BF-41F9-9069-5241F2063B50},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Live,1637789686,,-88,-88,EMPA
1279,SC-GOL,Goleta Slough,1,25/3/2021 00:00:00,1,3,Not recorded,vegetation,Distichlis spicata,salt grass,native,60,5,62.5,10,Not recorded,{BB2B8706-0DBF-46FD-93EF-2D9A724D492D},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Dead,1637789686,,-88,-88,EMPA
1280,SC-GOL,Goleta Slough,1,25/3/2021 00:00:00,1,4,Not recorded,vegetation,Distichlis spicata,salt grass,native,5,2,3,5,Not recorded,{62AF91F3-6F43-4CBE-AB3F-FE9D443AECFF},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Live,1637789686,,-88,-88,EMPA
1281,SC-GOL,Goleta Slough,1,25/3/2021 00:00:00,1,5,Not recorded,vegetation,Distichlis spicata,salt grass,native,10,3,15,5,Not recorded,{65740571-330B-4F85-BA9B-206DE868994B},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Dead,1637789686,,-88,-88,EMPA
1452,SC-GOL,Goleta Slough,3,24/3/2021 00:00:00,2,1,Not recorded,vegetation,Nasturtium sp.,Nasturtium sp.,Not recorded,2,2,3,11,Not recorded,{A22142CE-D783-449A-9817-41D5B2DCFE41},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Not recorded,1637789686,,-88,-88,EMPA
4029,Baja-SQ,Bahia de San Quintin,3,31/3/2022 00:00:00,3,1,Mud,vegetation,Batis maritima,saltwort,native,5,2,3,13,,{60901013-8808-48A9-88C5-145F13F323A1},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4030,Baja-SQ,Bahia de San Quintin,3,31/3/2022 00:00:00,3,2,Mud,vegetation,Batis maritima,saltwort,native,5,2,3,26,,{21DAF47B-E177-46AE-B6C6-CE80BDEAD21E},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4031,Baja-SQ,Bahia de San Quintin,3,31/3/2022 00:00:00,3,3,Mud,vegetation,Batis maritima,saltwort,native,30,4,37.5,30,,{7BE13003-E978-4C32-BDC0-9050B3B3F1D4},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4044,Baja-SQ,Bahia de San Quintin,4,30/3/2022 00:00:00,2,1,Mud,vegetation,Batis maritima,saltwort,native,2,2,3,9,,{9A596AA4-5DE5-47EF-8B9A-68E07FD8B5E7},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4045,Baja-SQ,Bahia de San Quintin,4,30/3/2022 00:00:00,2,3,Mud,vegetation,Batis maritima,saltwort,native,2,2,3,8,,{6FF7CA84-D02B-4077-B814-2D8769311104},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4046,Baja-SQ,Bahia de San Quintin,4,30/3/2022 00:00:00,2,4,Mud,vegetation,Batis maritima,saltwort,native,5,2,3,11,,{897AA7E6-5FDE-466A-B83E-4AF717FEDE85},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4099,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,3,3,Mud,vegetation,Frankenia salina,alkali heath,native,20,3,15,23,,{3AD30C3C-0877-403B-96F6-A231FC16A41C},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4100,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,3,4,Mud,vegetation,Frankenia salina,alkali heath,native,20,3,15,20,,{1DA5FAD3-647B-4EEB-B38E-C156CFC3C409},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4101,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,2,1,Mud,vegetation,Frankenia salina,alkali heath,native,5,2,3,21,,{97D0459E-48F5-481F-AB7A-4FE890F305AC},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4102,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,2,2,Mud,vegetation,Frankenia salina,alkali heath,native,5,2,3,13,,{99FE80FC-7A9E-48AD-ACAA-03FB6DC70505},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4103,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,2,3,Mud,vegetation,Frankenia salina,alkali heath,native,10,3,15,17,,{984AA2DF-3F7B-4E2B-B54E-1385411832D9},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4104,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,2,5,Mud,vegetation,Frankenia salina,alkali heath,native,15,3,15,23,,{16B2D690-51BF-4D7C-A940-78D6087DDA9F},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4106,Baja-SQ,Bahia de San Quintin,3,31/3/2022 00:00:00,3,2,Mud,vegetation,Frankenia salina,alkali heath,native,40,4,37.5,31,,{57BBFFA7-7A3C-44E3-BC9B-BA83189422DE},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
3776,NC-BOL,Bolinas Lagoon,1,28/10/2021 00:00:00,1,1,Mud,vegetation,Salicornia pacifica,Pickleweed,native,-88,7,97.5,25,post-processed by Brent Huges in Sept. 2022,{4BF01193-EC03-4179-9CDD-A7FF487871AE},checker,28/9/2022 20:03:35,zaibq@sccwrp.org,22/6/2023 15:18:08,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664395415,,,-88,EMPA
3777,NC-BOL,Bolinas Lagoon,1,28/10/2021 00:00:00,1,1,Mud,vegetation,Distichlis littoralis,shore grass,native,-88,5,62.5,28,post-processed by Brent Huges in Sept. 2022,{7CBB2ED7-AA56-4009-8B48-984BCBA71216},checker,28/9/2022 20:03:35,zaibq@sccwrp.org,22/6/2023 15:18:08,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664395415,,,-88,EMPA
3778,NC-BOL,Bolinas Lagoon,1,28/10/2021 00:00:00,1,2,Mud,vegetation,Salicornia pacifica,Pickleweed,native,-88,7,97.5,40,post-processed by Brent Huges in Sept. 2022,{9722A983-25FA-4C40-97A3-401F1BB1CD96},checker,28/9/2022 20:03:35,zaibq@sccwrp.org,22/6/2023 15:18:08,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664395415,,,-88,EMPA
3779,NC-BOL,Bolinas Lagoon,1,28/10/2021 00:00:00,1,3,Mud,vegetation,Salicornia pacifica,Pickleweed,native,-88,4,37.5,21,post-processed by Brent Huges in Sept. 2022,{6CFA6E16-515F-4E5C-A6B5-A7725CB888F3},checker,28/9/2022 20:03:35,zaibq@sccwrp.org,22/6/2023 15:18:08,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664395415,,,-88,EMPA
3780,NC-BOL,Bolinas Lagoon,1,28/10/2021 00:00:00,1,3,Mud,vegetation,Distichlis littoralis,shore grass,native,-88,4,37.5,53,post-processed by Brent Huges in Sept. 2022,{DA3176FE-2C72-4F03-957F-222F30EFC59B},checker,28/9/2022 20:03:35,zaibq@sccwrp.org,22/6/2023 15:18:08,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664395415,,,-88,EMPA
3781,NC-BOL,Bolinas Lagoon,1,28/10/2021 00:00:00,1,4,Mud,vegetation,Distichlis littoralis,shore grass,native,-88,2,3,30,post-processed by Brent Huges in Sept. 2022,{EA34B13B-92CF-4738-843E-AAE0F532D4CF},checker,28/9/2022 20:03:35,zaibq@sccwrp.org,22/6/2023 15:18:08,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664395415,,,-88,EMPA
3782,NC-BOL,Bolinas Lagoon,1,28/10/2021 00:00:00,1,5,Mud,vegetation,Distichlis littoralis,shore grass,native,-88,3,15,31,post-processed by Brent Huges in Sept. 2022,{634ACD8E-BC0D-41D1-8BB2-01BAA2C5568C},checker,28/9/2022 20:03:35,zaibq@sccwrp.org,22/6/2023 15:18:08,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664395415,,,-88,EMPA
3783,NC-BOL,Bolinas Lagoon,1,28/10/2021 00:00:00,2,1,Mud,vegetation,Salicornia pacifica,Pickleweed,native,-88,7,97.5,49,post-processed by Brent Huges in Sept. 2022,{F907C78B-D55E-435A-9C6D-3B919F0F6102},checker,28/9/2022 20:03:35,zaibq@sccwrp.org,22/6/2023 15:18:08,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664395415,,,-88,EMPA
3784,NC-BOL,Bolinas Lagoon,1,28/10/2021 00:00:00,2,2,Mud,vegetation,Distichlis littoralis,shore grass,native,-88,7,97.5,29,post-processed by Brent Huges in Sept. 2022,{592F9015-3B21-45C6-93E6-8075ABD602A5},checker,28/9/2022 20:03:35,zaibq@sccwrp.org,22/6/2023 15:18:08,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664395415,,,-88,EMPA
3785,NC-BOL,Bolinas Lagoon,1,28/10/2021 00:00:00,2,2,Mud,vegetation,Salicornia pacifica,Pickleweed,native,-88,3,15,30,post-processed by Brent Huges in Sept. 2022,{DCC830B2-27F3-4DC2-A047-54FE56B501AE},checker,28/9/2022 20:03:35,zaibq@sccwrp.org,22/6/2023 15:18:08,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664395415,,,-88,EMPA
4107,Baja-SQ,Bahia de San Quintin,3,31/3/2022 00:00:00,3,5,Mud,vegetation,Frankenia salina,alkali heath,native,10,3,15,24,,{11A0E309-1E13-45E8-9668-F3AF0DD82063},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4108,Baja-SQ,Bahia de San Quintin,3,31/3/2022 00:00:00,2,1,Mud,vegetation,Frankenia salina,alkali heath,native,5,2,3,18,,{931F0B0E-5B2E-41D6-89AB-59E13F7BC050},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4118,Baja-SQ,Bahia de San Quintin,4,30/3/2022 00:00:00,2,1,Mud,vegetation,Frankenia salina,alkali heath,native,25,3,15,17,,{2DF38D28-E6F2-43B1-9A7C-9F1E5F10E7D7},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4119,Baja-SQ,Bahia de San Quintin,4,30/3/2022 00:00:00,2,2,Mud,vegetation,Frankenia salina,alkali heath,native,40,4,37.5,27,,{C0D73388-16A7-4641-B01B-EC867A3175A6},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4120,Baja-SQ,Bahia de San Quintin,4,30/3/2022 00:00:00,2,3,Mud,vegetation,Frankenia salina,alkali heath,native,5,2,3,28,,{2403CD0B-F4E0-4CCE-9D5B-ECBB6BD3932B},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
3786,NC-BOL,Bolinas Lagoon,1,28/10/2021 00:00:00,2,3,Mud,vegetation,Spartina foliosa,California cordgrass,native,-88,3,15,79,post-processed by Brent Huges in Sept. 2022,{E390C31F-B0A8-4484-8E65-F83A3BF9DF18},checker,28/9/2022 20:03:35,zaibq@sccwrp.org,22/6/2023 15:18:08,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664395415,,,-88,EMPA
4121,Baja-SQ,Bahia de San Quintin,4,30/3/2022 00:00:00,2,4,Mud,vegetation,Frankenia salina,alkali heath,native,35,4,37.5,16,,{AAC5B2C0-6DC7-419D-A2ED-245C1E980242},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4122,Baja-SQ,Bahia de San Quintin,4,30/3/2022 00:00:00,2,5,Mud,vegetation,Frankenia salina,alkali heath,native,40,4,37.5,18,,{9BCF4D8F-AF09-4E0C-A44A-C7CE1E5AF9C7},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4211,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,2,1,Mud,vegetation,Distichlis littoralis,shore grass,native,40,4,37.5,26,,{5F1EF17F-7A6B-4405-9F65-7AF3D8698CA4},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4212,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,2,2,Mud,vegetation,Distichlis littoralis,shore grass,native,5,2,3,19,,{24F10EFE-E939-4272-A68B-9A92EB9EFD4A},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
3919,NC-NAV,Navarro River,1,16/10/2021 00:00:00,1,1,Mud,vegetation,Distichlis littoralis,shore grass,native,90,6,85,17,post-processed by Jan Walker in Sept. 2022,{595FC955-5FF5-423A-B097-04A9E43A06A5},checker,28/9/2022 20:03:35,zaibq@sccwrp.org,18/7/2023 12:32:56,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664395415,,,-88,EMPA
3921,NC-NAV,Navarro River,1,16/10/2021 00:00:00,1,2,Mud,vegetation,Distichlis littoralis,shore grass,native,70,5,62.5,13,post-processed by Jan Walker in Sept. 2022,{9F1D3AFD-136C-4804-833B-ACE675B28CB2},checker,28/9/2022 20:03:35,zaibq@sccwrp.org,18/7/2023 12:32:56,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664395415,,,-88,EMPA
3924,NC-NAV,Navarro River,1,16/10/2021 00:00:00,1,4,Mud,vegetation,Distichlis littoralis,shore grass,native,10,3,15,10,post-processed by Jan Walker in Sept. 2022,{70F8EEE0-D85C-4784-BA8A-BB5890D795B3},checker,28/9/2022 20:03:35,zaibq@sccwrp.org,18/7/2023 12:32:56,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664395415,,,-88,EMPA
