objectid,siteid,estuaryname,stationno,samplecollectiondate,surveytype,netreplicate,scientificname,commonname,identificationnotes,abundance,abundancenotes,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,warnings,submissionid,status,projectid,method
2498,SC-BAT,Batiquitos Lagoon,2,20/4/2022 00:00:00,beach seine,8,Fundulus parvipinnis,California killifish,,-88,marked for present/absent,{EDCA4D65-8B8A-4FDD-989F-0CCE6E31B63A},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2499,SC-BAT,Batiquitos Lagoon,2,20/4/2022 00:00:00,beach seine,9,Syngnathus leptorhynchus,bay pipefish,,-88,marked for present/absent,{9EA7E620-087C-4E84-BFA0-3A4A5A1EA747},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2500,SC-BAT,Batiquitos Lagoon,2,20/4/2022 00:00:00,beach seine,9,Atherinops affinis,topsmelt silverside,,-88,marked for present/absent,{E8F3AB73-7DDA-4094-BA5C-63E78C1A212B},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2501,SC-BAT,Batiquitos Lagoon,2,20/4/2022 00:00:00,beach seine,9,Acentrogobius nebulosus,shadow goby,,-88,marked for present/absent,{C0084AC7-8308-4C83-A886-CC02A374488C},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,,EMPA,PA
2502,SC-BAT,Batiquitos Lagoon,2,20/4/2022 00:00:00,beach seine,9,Clevelandia ios,arrow goby,,-88,marked for present/absent,{67F3FEE4-CE4F-4948-AADB-2F37F45061B5},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
1971,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,1,Atherinops affinis,topsmelt silverside,,98,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1972,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,1,Fundulus parvipinnis,California killifish,,51,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1973,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,1,Mugil cephalus,flathead grey mullet,,39,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1974,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,1,Ctenogobius sagittula,longtail goby,,1,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1975,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,1,Paralabrax spp.,juvenile bass,,1,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,not recorded,Baja-rails,count
1976,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,1,Acentrogobius nebulosus,shadow goby,,2,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,not recorded,Baja-rails,count
1977,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,2,Fundulus parvipinnis,California killifish,,91,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1978,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,2,Atherinops affinis,topsmelt silverside,,47,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1979,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,2,Mugil cephalus,flathead grey mullet,,33,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1980,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,3,Fundulus parvipinnis,California killifish,,703,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1981,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,3,Mugil cephalus,flathead grey mullet,,23,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1982,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,3,Atherinops affinis,topsmelt silverside,,26,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1983,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,4,Fundulus parvipinnis,California killifish,,53,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1984,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,4,Mugil cephalus,flathead grey mullet,,4,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1985,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,4,Acentrogobius nebulosus,shadow goby,,6,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,not recorded,Baja-rails,count
1986,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,5,Fundulus parvipinnis,California killifish,,118,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1987,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,5,Mugil cephalus,flathead grey mullet,,7,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1988,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,5,Atherinops affinis,topsmelt silverside,,58,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1989,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,5,Gillichthys mirabilis,longjaw mudsucker goby,,1,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1990,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,5,Acentrogobius nebulosus,shadow goby,,12,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,not recorded,Baja-rails,count
1991,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,6,Atherinops affinis,topsmelt silverside,,58,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1992,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,6,Fundulus parvipinnis,California killifish,,67,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1993,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,6,Mugil cephalus,flathead grey mullet,,4,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1994,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,6,Acentrogobius nebulosus,shadow goby,,8,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,not recorded,Baja-rails,count
1995,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,7,Fundulus parvipinnis,California killifish,,141,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1996,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,7,Atherinops affinis,topsmelt silverside,,34,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1997,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,7,Mugil cephalus,flathead grey mullet,,9,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
1998,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,7,Acentrogobius nebulosus,shadow goby,,17,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,not recorded,Baja-rails,count
1999,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,7,Gillichthys mirabilis,longjaw mudsucker goby,,1,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2000,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,8,Fundulus parvipinnis,California killifish,,143,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2001,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,8,Mugil cephalus,flathead grey mullet,,4,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2002,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,8,Atherinops affinis,topsmelt silverside,,41,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2003,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,8,Acentrogobius nebulosus,shadow goby,,22,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,not recorded,Baja-rails,count
2004,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,9,Fundulus parvipinnis,California killifish,,241,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2005,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,9,Atherinops affinis,topsmelt silverside,,9,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2006,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,9,Mugil cephalus,flathead grey mullet,,13,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2007,Baja-SQ,Bahia de San Quintin,1,8/10/2022 0:00,beach seine,9,Acentrogobius nebulosus,shadow goby,,8,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,not recorded,Baja-rails,count
2008,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,1,Atherinops californiensis,jack silverside,,13,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2009,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,1,Atherinops affinis,topsmelt silverside,,12,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2011,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,2,Atherinops affinis,topsmelt silverside,,5,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2012,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,2,Atherinops californiensis,jack silverside,,8,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2013,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,2,Paralabrax spp.,juvenile bass,,26,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,not recorded,Baja-rails,count
2014,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,3,Atherinops californiensis,jack silverside,,10,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2015,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,3,Atherinops affinis,topsmelt silverside,,1,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2016,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,3,Syngnathus leptorhynchus,bay pipefish,,3,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2017,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,3,Paralabrax spp.,juvenile bass,,31,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,not recorded,Baja-rails,count
2018,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,3,Acentrogobius nebulosus,shadow goby,,1,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,not recorded,Baja-rails,count
2019,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,4,Atherinops californiensis,jack silverside,,7,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2020,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,4,Atherinops affinis,topsmelt silverside,,6,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2021,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,5,Fundulus parvipinnis,California killifish,,1,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2022,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,5,Atherinops californiensis,jack silverside,,1,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2023,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,6,Atherinops affinis,topsmelt silverside,,2,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2024,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,6,Acentrogobius nebulosus,shadow goby,,1,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,not recorded,Baja-rails,count
2025,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,7,Fundulus parvipinnis,California killifish,,5,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2026,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,7,Syngnathus leptorhynchus,bay pipefish,,1,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2027,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,8,Fundulus parvipinnis,California killifish,,672,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2028,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,8,Mugil cephalus,flathead grey mullet,,2,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2029,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,8,Atherinops californiensis,jack silverside,,2,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2030,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,8,Atherinops affinis,topsmelt silverside,,49,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2031,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,9,Fundulus parvipinnis,California killifish,,37,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2032,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,9,Acentrogobius nebulosus,shadow goby,,1,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,not recorded,Baja-rails,count
2033,Baja-SQ,Bahia de San Quintin,2,9/10/2022 0:00,beach seine,9,Lepidogobius lepidus,bay goby,,1,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2034,Baja-SQ,Bahia de San Quintin,3,11/10/2022 0:00,beach seine,1,Atherinops affinis,topsmelt silverside,,67,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2035,Baja-SQ,Bahia de San Quintin,3,11/10/2022 0:00,beach seine,1,Fundulus parvipinnis,California killifish,,3,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2036,Baja-SQ,Bahia de San Quintin,3,11/10/2022 0:00,beach seine,1,Syngnathus leptorhynchus,bay pipefish,,1,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2037,Baja-SQ,Bahia de San Quintin,3,11/10/2022 0:00,beach seine,2,Fundulus parvipinnis,California killifish,,2,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2038,Baja-SQ,Bahia de San Quintin,3,11/10/2022 0:00,beach seine,2,Syngnathus leptorhynchus,bay pipefish,,6,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2039,Baja-SQ,Bahia de San Quintin,3,11/10/2022 0:00,beach seine,3,Syngnathus leptorhynchus,bay pipefish,,7,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2040,Baja-SQ,Bahia de San Quintin,3,11/10/2022 0:00,beach seine,3,Fundulus parvipinnis,California killifish,,1,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
2041,Baja-SQ,Bahia de San Quintin,3,11/10/2022 0:00,beach seine,4,Syngnathus leptorhynchus,bay pipefish,,9,,{00000000-0000-0000-0000-000000000000},change request app,21/12/2022 13:19:17,duyn@sccwrp.org,21/12/2022 14:34:26,janw@sccwrp.org,SCCWRP,,1671562589,native,Baja-rails,count
