objectid,siteid,estuaryname,samplecollectiondate,samplelocation,collectionmethod,scientificname,commonname,status,qualifier,abundance,excludefromanalysis,lab,sievelocation,sievesize,sievesizeunits,voucher,personalvoucher,initial,taxonomist,abundancenotes,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,submissionid,warnings,stationno,login_agency,projectid,fieldreplicate
30,Baja-SQ,Bahia de San Quintin,31/3/2022 00:00:00,intertidal,sediment core,NEMATODA,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{181679B9-30C2-4C30-A6FE-0127E86B4889},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,3,SCCWRP,Baja-rails,1
31,Baja-SQ,Bahia de San Quintin,31/3/2022 00:00:00,intertidal,sediment core,Cerebratulus californiensis,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{C314FBC7-26F9-47AC-A729-AB5E332FA04A},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,3,SCCWRP,Baja-rails,1
32,Baja-SQ,Bahia de San Quintin,31/3/2022 00:00:00,intertidal,sediment core,Diptera,,,,7,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{451A0375-DC7F-4482-BEA5-A86610F0EED2},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,3,SCCWRP,Baja-rails,1
39,Baja-SQ,Bahia de San Quintin,30/3/2022 00:00:00,intertidal,sediment core,Tubulanus sp SD1,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{5E26FCF7-046F-4D9C-972F-771B7135A6DD},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,4,SCCWRP,Baja-rails,1
40,Baja-SQ,Bahia de San Quintin,30/3/2022 00:00:00,intertidal,sediment core,Cerebratulus californiensis,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{546181D3-730F-4A69-877E-BDBEDCD6A13A},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,4,SCCWRP,Baja-rails,1
41,Baja-SQ,Bahia de San Quintin,30/3/2022 00:00:00,intertidal,sediment core,Chaetozone columbiana,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{FB9E32FF-0EDE-4B25-8D13-407E47E55B9B},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,4,SCCWRP,Baja-rails,1
42,Baja-SQ,Bahia de San Quintin,30/3/2022 00:00:00,intertidal,sediment core,Photis sp A,,,,2,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{47DB6FB9-E9C8-4231-86DE-EE23B5905DB1},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,4,SCCWRP,Baja-rails,1
43,Baja-SQ,Bahia de San Quintin,30/3/2022 00:00:00,intertidal,sediment core,Diptera,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{2F8EB03C-6D4B-407A-9DA0-F7A4855240CB},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,4,SCCWRP,Baja-rails,1
66,Baja-PB,Estero Punta Banda,27/4/2022 00:00:00,intertidal,sediment core,Cerebratulus californiensis,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{159BC167-4871-4165-A95F-4A63867A5ACE},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,1,SCCWRP,Baja-rails,1
67,Baja-PB,Estero Punta Banda,27/4/2022 00:00:00,intertidal,sediment core,Tellina bodegensis,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{FBCB5787-5ADB-41B0-98AA-BCAA18B25C2C},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,1,SCCWRP,Baja-rails,1
76,Baja-PB,Estero Punta Banda,26/4/2022 00:00:00,intertidal,sediment core,Alitta succinea,,,,4,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{83D93814-B1B2-4986-843A-BAB49BAE8BBE},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,2,SCCWRP,Baja-rails,1
77,Baja-PB,Estero Punta Banda,26/4/2022 00:00:00,intertidal,sediment core,Neanthes acuminata Cmplx,,,,53,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{9D7369ED-9C2B-411F-88F1-1EC7E55E8A69},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,2,SCCWRP,Baja-rails,1
78,Baja-PB,Estero Punta Banda,26/4/2022 00:00:00,intertidal,sediment core,Platynereis bicanaliculata,,,,3,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{37C27CE8-7555-4FF8-8F29-AC2AD638E874},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,2,SCCWRP,Baja-rails,1
79,Baja-PB,Estero Punta Banda,26/4/2022 00:00:00,intertidal,sediment core,Magelona sacculata,,,,6,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{AA516147-7C43-4684-B483-4B1AE1D58219},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,2,SCCWRP,Baja-rails,1
80,Baja-PB,Estero Punta Banda,26/4/2022 00:00:00,intertidal,sediment core,Aphelochaeta glandaria Cmplx,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{97FD010C-5370-45E1-98B0-0C6FE8F3E292},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,2,SCCWRP,Baja-rails,1
81,Baja-PB,Estero Punta Banda,26/4/2022 00:00:00,intertidal,sediment core,Chione undatella,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{4543D8C1-853F-45B9-828F-D2A36454BBFB},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,2,SCCWRP,Baja-rails,1
