NC_project_short_code,sample_type,species_classcode,taxa,genus,species,description
NC_Kelp_Srock,FISH,SEBSPP, ,,,"Rockfish, Unidentified Sp.,"
NC_Kelp_Srock,FISH,SENT,Sebastes entomelas,Sebastes,entomelas,"Widow Rockfish,"
NC_Kelp_Srock,FISH,SGIG,Stereolepis gigas,Stereolepis,gigas,"Giant Sea Bass,"
NC_Kelp_Srock,FISH,SGUT,Scorpaena guttata,Scorpaena,guttata,"California Scorpionfish, Sculpin,"
NC_Kelp_Srock,FISH,SHOP,Sebastes hopkinsi,Sebastes,hopkinsi,"Squarespot Rockfish,"
NC_Kelp_Srock,FISH,SJAP,Scomber japonicus,Scomber,japonicus,"Pacific Mackerel, Greenback Mackerel,"
NC_Kelp_Srock,FISH,SLAL,Seriola lalandi,Seriola,lalandi,"Yellowtail,"
NC_Kelp_Srock,FISH,SLUC,Synodus lucioceps,Synodus,lucioceps,"California Lizardfish,"
NC_Kelp_Srock,FISH,SMAL,Sebastes maliger,Sebastes,maliger,"Quillback Rockfish,"
NC_Kelp_Srock,FISH,SMAR,Scorpaenichthys marmoratus,Scorpaenichthys,marmoratus,"Cabezon,"
NC_Kelp_Srock,FISH,SMEL,Sebastes melanops,Sebastes,melanops,"Black Rockfish, juveniles very similar to OYT"
NC_Kelp_Srock,FISH,SMIN,Sebastes miniatus,Sebastes,miniatus,"Vermilion Rockfish,"
NC_Kelp_Srock,FISH,SMYS,Sebastes mystinus,Sebastes,mystinus,"Blue Rockfish,"
NC_Kelp_Srock,FISH,SNEB,Sebastes nebulosus,Sebastes,nebulosus,"China Rockfish,"
NC_Kelp_Srock,FISH,SPAU,Sebastes paucispinis,Sebastes,paucispinis,"Bocaccio,"
NC_Kelp_Srock,FISH,SPIN,Sebastes pinniger,Sebastes,pinniger,"Canary Rockfish,"
NC_Kelp_Srock,FISH,SPUL,Semicossyphus pulcher,Semicossyphus,pulcher,"California Sheephead,"
NC_Kelp_Srock,FISH,SRAS,Sebastes rastrelliger,Sebastes,rastrelliger,"Grass Rockfish,"
NC_Kelp_Srock,FISH,SROS,Sebastes rosaceus,Sebastes,rosaceus,"Rosy Rockfish,"
NC_Kelp_Srock,FISH,SRUB,Sebastes rubrivinctus,Sebastes,rubrivinctus,"Flag Rockfish,"
NC_Kelp_Srock,FISH,SSAG,Sardinops sagax,Sardinops,sagax,"Pacific Sardine,"
NC_Kelp_Srock,FISH,SSAX,Sebastes saxicola,Sebastes,saxicola,"Stripetail Rockfish,"
NC_Kelp_Srock,FISH,SSEM,Sebastes semicinctus,Sebastes,semicinctus,"Halfbanded Rockfish,"
NC_Kelp_Srock,FISH,STICH,Stichaeidae spp.,Stichaeidae,spp.,"Pricklebacks, unidentified sp."
NC_Kelp_Srock,FISH,STRE,Sebastes serriceps,Sebastes,serriceps,"Treefish,"
NC_Kelp_Srock,FISH,SUMB, Sebastes umbrosus,,Sebastes umbrosus,"Honeycomb Rockfish, Added in 2012, counted by Vantuna Research Group as part of 2011 Baseline"
NC_Kelp_Srock,FISH,SYNG,Syngnathus spp.,Syngnathus,spp.,"Pipefish, unidentified sp."
NC_Kelp_Srock,FISH,SYRI,Synchirus / Rimicola spp.,Synchirus / Rimicola,spp.,"Manacled Sculpin/Kelp Clingfish, Combined species group of Synchirus gilli and Rimicola muscarum"
NC_Kelp_Srock,FISH,TCAL,Torpedo californica,Torpedo,californica,"Pacific Electric Ray,"
NC_Kelp_Srock,FISH,TSEM,Triakis semifasciata,Triakis,semifasciata,"Leopard Shark,"
NC_Kelp_Srock,FISH,TSYM,Trachurus symmetricus,Trachurus,symmetricus,"Jack Mackerel,"
NC_Kelp_Srock,FISH,UHAL,Urobatis halleri,Urobatis,halleri,"Haller'S Round Ray,"
NC_Kelp_Srock,FISH,UNID, ,,,"Unidentified Fish,"
NC_Kelp_Srock,FISH,XCAL,Xenistius californiensis,Xenistius,californiensis,"Californian Salema,"
NC_Kelp_Srock,FISH,ZEXA,Zapteryx exasperata,Zapteryx,exasperata,"Banded Guitarfish, Added in 2012, counted by Vantuna Research Group as part of 2011 Baseline"
NC_Kelp_Srock,FISH,ZROS,Zalembius rosaceus,Zalembius,rosaceus,"Pink Surfperch,"
NC_Kelp_Srock,SIZEFREQ,HALASS,Haliotis assimilis,Haliotis,assimilis,"threaded abalone,"
NC_Kelp_Srock,SIZEFREQ,HALCOR,Haliotis corrugata,Haliotis,corrugata,"pink abalone,"
NC_Kelp_Srock,SIZEFREQ,HALCRA,Haliotis cracherodii,Haliotis,cracherodii,"black abalone,"
NC_Kelp_Srock,SIZEFREQ,HALFUL,Haliotis fulgens,Haliotis,fulgens,"green abalone,"
NC_Kelp_Srock,SIZEFREQ,HALKAM,Haliotis kamtschatkana,Haliotis,kamtschatkana,"pinto abalone,"
NC_Kelp_Srock,SIZEFREQ_commercial,HALRUF,Haliotis rufescens,Haliotis,rufescens,"red abalone,"
NC_Kelp_Srock,SIZEFREQ,HALRUF,Haliotis rufescens,Haliotis,rufescens,"red abalone,"
NC_Kelp_Srock,SIZEFREQ,HALSPP,Haliotis spp.,Haliotis,spp.,"abalone spp.,"
NC_Kelp_Srock,SIZEFREQ,HALWAL,Haliotis wallalensis,Haliotis,wallalensis,"flat abalone,"
NC_Kelp_Srock,SIZEFREQ,KELKEL,Kelletia kelletii,Kelletia,kelletii,"Kellet's whelk, Added to size frequency in 2011 to get emerging fishery baseline size structure information"
NC_Kelp_Srock,SIZEFREQ,LYTANAAD,Lytechinus anamesus,Lytechinus,anamesus,"white urchin (adult > 2.5 cm),"
NC_Kelp_Srock,SIZEFREQ,MEGCRE,Megathura crenulata,Megathura,crenulata,"giant key-hole limpet, Added to size frequency in 2011 to get emerging fishery baseline size structure information"
NC_Kelp_Srock,SIZEFREQ,MEGUND,Megastraea undosum,Megastraea,undosum,"wavy turban snail, Added to size frequency in 2011 to get emerging fishery baseline size structure information"
NC_Kelp_Srock,SIZEFREQ,NO_ORG, ,,,"No organisms present in this sample,"
NC_Kelp_Srock,SIZEFREQ,PANINT,Panulirus interruptus,Panulirus,interruptus,"spiny lobster,"
NC_Kelp_Srock,SIZEFREQ_commercial,STRFRAAD,Strongylocentrotus franciscanus,Strongylocentrotus,franciscanus,"red urchin, adult > 2.5cm"
NC_Kelp_Srock,SIZEFREQ,STRFRAAD,Strongylocentrotus franciscanus,Strongylocentrotus,franciscanus,"red urchin, adult > 2.5cm"
NC_Kelp_Srock,SIZEFREQ_commercial,STRPURAD,Strongylocentrotus purpuratus,Strongylocentrotus,purpuratus,"purple urchin, adult > 2.5cm"
NC_Kelp_Srock,SIZEFREQ,STRPURAD,Strongylocentrotus purpuratus,Strongylocentrotus,purpuratus,"purple urchin, adult > 2.5cm"
NC_Kelp_Srock,SWATH,AGAFIM,Agarum fimbriatum,Agarum,fimbriatum,"Agarum,"
NC_Kelp_Srock,SWATH,ALAMAR,Alaria marginata,Alaria,marginata,"Alaria,"
NC_Kelp_Srock,SWATH,COSCOS,Costaria costatum,Costaria,costatum,"Costaria,"
NC_Kelp_Srock,SWATH,CYSOSMAD,Cystoseira osmundacea,Cystoseira,osmundacea,"Cystoseira, Adult diameter > 6cm"
NC_Kelp_Srock,SWATH,DICCAL,Dictyoneurum californicum,Dictyoneurum,californicum,"Dictyoneurum, This sp. and Dictyoneuropsis reticulata were considered to be  separate species,  they have since been shown to be all Dictyoneurum californica"
NC_Kelp_Srock,SWATH,EGRMEN,Egregia menziesii,Egregia,menziesii,"Egregia,"
NC_Kelp_Srock,SWATH,EISARBAD,Eisenia arborea,Eisenia,arborea,"Eisenia, adult stipe height > 30cm"
NC_Kelp_Srock,SWATH,LAMFAR,Laminaria farlowii,Laminaria,farlowii,"Laminaria, adult blade width > 10cm"
NC_Kelp_Srock,SWATH,LAMSAC,Laminaria saccharina,Laminaria,saccharina,"Laminaria, adult blade width > 10cm"
NC_Kelp_Srock,SWATH,LAMSET,Laminaria setchellii,Laminaria,setchellii,"Laminaria, adult stipe height > 30cm"
NC_Kelp_Srock,SWATH,LAMSPP,Laminaria spp.,Laminaria,spp.,"Laminaria,"
NC_Kelp_Srock,SWATH,MACPYRAD,Macrocystis pyrifera,Macrocystis,pyrifera,"Macrocystis, adult height > 1m (also used as a placeholder in swath data when no MACPYRAD were seen"
NC_Kelp_Srock,SWATH,NERLUE,Nereocystis luetkeana,Nereocystis,luetkeana,"Nereocystis,"
NC_Kelp_Srock,SWATH,NO_ORG, ,,,"No organisms present in this sample,"
NC_Kelp_Srock,SWATH,PLEGAR,Pleurophycus gardneri,Pleurophycus,gardneri,"Pleurophycus,"
NC_Kelp_Srock,SWATH,PTECALAD,Pterygophora californica,Pterygophora,californica,"Pterygophora, adult stipe height > 30cm"
NC_Kelp_Srock,SWATH,UNDPIN,Undaria pinnatifida,Undaria,pinnatifida,"Undaria,"
NC_Kelp_Srock,SWATH,ANTSOL,Anthopleura sola,Anthopleura,sola,"green anemone,"
NC_Kelp_Srock,SWATH,ANTSPP,Anthopleura spp.,Anthopleura,spp.,"unidentified anemone,"
NC_Kelp_Srock,SWATH,ANTXAN,Anthopleura xanthogrammica,Anthopleura,xanthogrammica,"giant green anemone,"
NC_Kelp_Srock,SWATH,APLCAL,Aplysia californica,Aplysia,californica,"California brown sea-hare,"
NC_Kelp_Srock,SWATH,ASTSER,Astrometis sertulifera,Astrometis,sertulifera,"fragile rainbow star, Added to species list in 2011, previous years stars not on species list were lumped as ASTSPP (unidentified asteroid)"
NC_Kelp_Srock,SWATH,ASTSPP, ,,,"unknown seastar,"
NC_Kelp_Srock,SWATH,BALNUB,Balanus nubilis,Balanus,nubilis,"barnacle,"
NC_Kelp_Srock,SWATH,CANSPP,Cancer spp.,Cancer,spp.,"cancer crab,"
NC_Kelp_Srock,SWATH,CENCOR,Centrostephanus coronatus,Centrostephanus,coronatus,"coronado urchin, crowned urchin,"
NC_Kelp_Srock,SWATH,CERFOL,Ceratostoma foliatum,Ceratostoma,foliatum,"leafy  hornmouth,"
NC_Kelp_Srock,SWATH,CRAARB,Craniella arb,Craniella,arb,"grey tennis ball sponge,"
NC_Kelp_Srock,SWATH,CRAGIG,Crassedoma giganteum,Crassedoma,giganteum,"rock scallop,"
NC_Kelp_Srock,SWATH,CRYDEC, ,,,"cryptic decorator crab unid. Spp.,"
NC_Kelp_Srock,SWATH,CRYSIT,Cryptolithoides sitchensis,Cryptolithoides,sitchensis,"umbrella crab,"
NC_Kelp_Srock,SWATH,CRYSTE,Cryptochiton stelleri,Cryptochiton,stelleri,"gumboot chiton,"
NC_Kelp_Srock,SWATH,CUCMIN,Cucumaria miniata,Cucumaria,miniata,"orange sea cucumber,"
NC_Kelp_Srock,SWATH,CUCSPP,Cucumaria spp.,Cucumaria,spp.,"sea cucumber, Any embedded (non-mobile) sea cucumber"
NC_Kelp_Srock,SWATH,CYPSPA,Cypraea spadicea,Cypraea,spadicea,"chestnut cowrie,"
NC_Kelp_Srock,SWATH,DERIMB,Dermasterias imbricata,Dermasterias,imbricata,"leather star,"
NC_Kelp_Srock,SWATH,DIOASP,Diodora aspera,Diodora,aspera,"rough keyhole limpet,"
NC_Kelp_Srock,SWATH,EPIPRO,Epiactis prolifera,Epiactis,prolifera,"brooding anemone,"
NC_Kelp_Srock,SWATH,EUGRUB,Eugorgia rubens,Eugorgia,rubens,"purple gorgonian,"
NC_Kelp_Srock,SWATH,EVATRO,Evasterias troschelli,Evasterias,troschelli,"mottled star,"
NC_Kelp_Srock,SWATH,GORGAD, ,,,"gorgonian adult, Any gorgonian >3cm tall including Lophogorgia chilensis, Muricea fruticosa and Muricea californica"
NC_Kelp_Srock,SWATH,HALASS,Haliotis assimilis,Haliotis,assimilis,"threaded abalone,"
NC_Kelp_Srock,SWATH,HALCOR,Haliotis corrugata,Haliotis,corrugata,"pink abalone,"
NC_Kelp_Srock,SWATH,HALCRA,Haliotis cracherodii,Haliotis,cracherodii,"black abalone,"
NC_Kelp_Srock,SWATH,HALFUL,Haliotis fulgens,Haliotis,fulgens,"green abalone,"
NC_Kelp_Srock,SWATH,HALKAM,Haliotis kamtschatkana,Haliotis,kamtschatkana,"pinto abalone,"
NC_Kelp_Srock,SWATH,HALRUF,Haliotis rufescens,Haliotis,rufescens,"red abalone,"
NC_Kelp_Srock,SWATH,HALSPP,Haliotis spp.,Haliotis,spp.,"abalone spp.,"
NC_Kelp_Srock,SWATH,HALWAL,Haliotis wallalensis,Haliotis,wallalensis,"flat abalone,"
NC_Kelp_Srock,SWATH,HENLEV,Henricia leviuscula,Henricia,leviuscula,"blood star,"
NC_Kelp_Srock,SWATH,KELKEL,Kelletia kelletii,Kelletia,kelletii,"Kellet's whelk,"
NC_Kelp_Srock,SWATH,LEPCHI,Leptogorgia chilensis,Leptogorgia,chilensis,"red gorgonian,"
