count_classcode,short_code,campus,genus,species,group,lifestage,other_char
23,crab,OSU,.,.,crab,recruit,.
23,crab,UCSB,.,.,crab,recruit,.
24,crepidula,OSU,Crepidula,spp,gastropod,recruit,.
24,crepidula,UCSB,.,.,gastropod,recruit,
25,cucumber,OSU,.,.,cucumber,recruit,.
26,gastropod,OSU,.,.,gastropod,recruit,.
26,gastropod,UCSB,.,.,gastropod,recruit,.
27,gra_spp,OSU,Grapsus,spp,crab,recruit,.
28,hem_spp,OSU,Hemigrapsus,spp,crab,recruit,.
29,hia_arc,OSU,Hiatella,arctica,bivalve,recruit,.
30,hia_spp,UCSB,Hiatella,arctica,bivalve,recruit,.
31,lac_spp,OSU,Lacuna,spp,snail,recruit,.
32,lep_spp,UCSC,.,.,seastar,adult,.
33,limpet,OSU,.,.,limpet,adult,.
34,limpet_large,OSU,.,.,limpet,adult,.
34,limpet_large,UCSB,.,.,limpet,adult,
35,limpet_large_bot,OSU,.,.,limpet,adult,plate_bottom
36,limpet_large_top,OSU,.,.,limpet,adult,plate_top
37,limpet_recruit,UCSB,.,.,limpet,recruit,.
37,limpet_recruit,UCSB,.,.,limpet,recruit,plate_top
38,limpet_small_bot,OSU,.,.,limpet,adult,plate_bottom
39,limpet_small_top,OSU,.,.,limpet,adult,plate_top
40,lit_spp,OSU,Littorina,spp,snail,recruit,.
41,meg_cal,OSU,Megabalanus,californicus,barnacle,recruit,.
42,meg_cal_cyprid,OSU,Megabalanus,californicus,barnacle,cyprid,.
43,mod_hairy,UCSC,Modiolus,.,mussel,recruit,hairy
44,mod_scaly,UCSC,Modiolus,.,mussel,recruit,scaly
45,mus_pyg,UCSC,Musculus,pygmaeus,mussel,recruit,.
45,mus_pyg,UCSB,Musculus,pygmaeus,mussel,recruit,.
46,mussel_unid_half,UCSC,.,.,mussel,recruit,half_shell
47,myt_spp_half,OSU,Mytilus,spp,mussel,recruit,half_shell
47,myt_spp_half,UCSC,Mytilus,.,mussel,recruit,half_shell
48,myt_spp_total,OSU,Mytilus,.,mussel,recruit,total
48,myt_spp_total,UCSB,Mytilus,.,mussel,recruit,total
48,myt_spp_total,UCSC,Mytilus,.,mussel,recruit,total
49,myt_spp_whole,OSU,Mytilus,spp,mussel,recruit,.
50,ophiuroid,OSU,.,.,seastar,recruit,.
50,ophiuroid,UCSC,.,.,brittlestar,recruit,.
50,ophiuroid,UCSB,.,.,brittlestar,recruit,.
51,pac_cra,OSU,Pachygrapsus,crassipes,crab,recruit,.
52,pachycheles_spp,OSU,Pachycheles,spp,crab,recruit,.
53,pag_spp,OSU,Pagurus,spp,crab,recruit,.
54,pet_spp,OSU,Petrolisthes,spp,crab,recruit,.
55,pol_pol,OSU,Pollicipes,polymerus,barnacle,recruit,.
55,pol_pol,UCSB,Pollicipes,polymerus,barnacle,recruit,.
55,pol_pol,UCSC,Pollicipes,polymerus,barnacle,recruit,.
56,pol_pol_cyprid,OSU,Pollicipes,polymerus,barnacle,cyprid,.
56,pol_pol_cyprid,UCSB,Pollicipes,polymerus,barnacle,cyprid,.
56,pol_pol_cyprid,UCSC,Pollicipes,polymerus,barnacle,cyprid,.
57,porcellanid,OSU,.,.,crab,recruit,.
58,pug_pro,OSU,Pugettia,productus,crab,recruit,.
59,pug_spp,OSU,Pugettia,spp,crab,recruit,.
60,razorclam,OSU,Siliqua,spp,clam,recruit,.
61,scallop,OSU,.,.,bivalve,recruit,.
61,scallop,UCSB,.,.,bivalve,recruit,.
62,seastar,OSU,.,.,seastar,recruit,.
62,seastar,UCSB,.,.,seastar,recruit,.
62,seastar,UCSC,.,.,seastar,recruit,.
63,sem_car,OSU,Semibalanus,cariosus,barnacle,recruit,.
63,sem_car,UCSC,Semibalanus,cariosus,barnacle,recruit,.
63,sem_car,UCSB,Semibalanus,cariosus,barnacle,recruit,.
64,sep_bif,OSU,Septifer,bifurcatus,mussel,recruit,.
64,sep_bif,UCSB,Septifer,bifurcatus,mussel,recruit,.
64,sep_bif,UCSC,Septifer,bifurcatus,mussel,recruit,.
65,sil_spp,OSU,Siliqua,.,clam,recruit,
66,str_fra,OSU,Strongylocentrotus,franciscanus,urchin,recruit,.
66,str_fra,UCSC,Strongylocentrotus,franciscanus,urchin,recruit,.
66,str_fra,UCSB,Strongylocentrotus,franciscanus,urchin,recruit,.
67,str_pur,OSU,Strongylocentrotus,purpuratus,urchin,recruit,.
67,str_pur,UCSC,Strongylocentrotus,purpuratus,urchin,recruit,.
67,str_pur,UCSB,Strongylocentrotus,purpuratus,urchin,recruit,.
68,tet_rub,OSU,Tetraclita,rubescens,barnacle,recruit,.
68,tet_rub,UCSB,Tetraclita,rubescens,barnacle,recruit,.
69,tet_rub_cyprid,OSU,Tetraclita,rubescens,barnacle,cyprid,.
70,urchin,OSU,.,.,urchin,recruit,.
70,urchin,UCSB,.,.,urchin,recruit,.
70,urchin,UCSC,.,.,urchin,recruit,.
71,sem_car_cyprid,OSU,Semibalanus,cariosus,barnacle,cyprid,.
72,lyt_ana,OSU,Lytechinus,anamesus,urchin,recruit,.
73,limpet_small,OSU,.,.,limpet,adult,.
74,lep_hex,OSU,Leptasterias,hexactis,seastar,recruit,.
75,crab_megalope,OSU,.,.,crab,recruit,.
75,crab_megalope,UCSB,.,.,crab,recruit,.
76,crab_megalope_color,OSU,.,.,crab,recruit,.
77,crab_juvenile,OSU,.,.,crab,recruit,.
78,crab_juvenile_color,OSU,.,.,crab,recruit,.
79,bal_nub,OSU,Balanus,nubilus,barnacle,recruit,.
80,bal_nub_cyprid,OSU,Balanus,nubilus,barnacle,cyprid,.
81,cen_cor,UCSB,Centrostephanus,coronatus,urchin,recruit,.
82,mod_spp,UCSB,Modiolus,.,mussel,recruit,.
83,lim_hem,UCSB,Limaria,hemphilli,bivalve,recruit,.
84,pod_spp,UCSB,Pododesmus,spp,bivalve,recruit,.
85,gastropod_in_sac,UCSB,.,.,gastropod,recruit,in_sac
