Project Short Code,Species/group,6 letter code,Kingdom,Phylum or Division,Class,Order,Family,Genus,Species,Notes
NC_RockyIt,Haliotis,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotididae,haliotis,,
NC_RockyIt,haliotis cracherodii,HALCRA,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotididae,haliotis,cracherodii,
NC_RockyIt,haliotis rufescens,HALRUF,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotididae,haliotis,rufescens,
NC_RockyIt,hemigrapsus nudus,HEMNUD,Animalia,Anthropoda,Malacostraca,Decapoda,Varunidae,hemigrapsus,nudus,
NC_RockyIt,hemigrapsus oregonensis,HEMORE,Animalia,Anthropoda,Malacostraca,Decapoda,Varunidae,hemigrapsus,oregonensis,"added Oct, 2011 based on OCNMS data"
NC_RockyIt,henricia spp,HENSPP,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,henricia,spp,
NC_RockyIt,hermit crabs,HERMIT,Animalia,Arthropoda,Malacostraca,Decapoda,,,,
NC_RockyIt,homalopoma spp,HOMSPP,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trubinidae,homalopoma,spp,
NC_RockyIt,idotea spp,IDOSPP,Animalia,Anthropoda,Malacostraca,Isopoda,Idoteidae,idotea,spp,UCSC/PISCO/RNSP started counting in 2008
NC_RockyIt,juvenile unidentified brittlestar,JUVBRI,Animalia,Echinodermata,Ophiuroidea,,,,,
NC_RockyIt,katharina tunicata,KATTUN,Animalia,Mollusca,Polyplacophora,Neoloricata,Mopaliidae,katharina,tunicata,"seen in PBNERR Plots, added to motile_counts in Feb, 2012"
NC_RockyIt,kelletia kelletii,KELKEL,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,kelletia,kelletii,
NC_RockyIt,lacuna spp,LACSPP,,Animalia,Mollusca,Gastropoda,Littorinidae,lacuna,spp,"added Aug, 2012 based on SSSC data"
NC_RockyIt,lepidochitona dentiens,LEPDEN,Animalia,Mollusca,Polyplacophora,Neoloricata,Lepidochitonidae,lepidochitona,dentiens,
NC_RockyIt,lepidochitona spp,LEPSPP,Animalia,Mollusca,Polyplacophora,Neoloricata,Lepidochitonidae,lepidochitona,spp,
NC_RockyIt,lepidozona spp,LEPIDO,Animalia,Mollusca,Polyplacophora,Neoloricata,Ischnochitonidae,lepidozona,spp,
NC_RockyIt,leptasterias spp,LEPTAS,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,leptasterias,spp,
NC_RockyIt,limpets 5-15 mm in size on all substrate,LMDALL,Animalia,Mollusca,,,,,,"these values are copied from limpet_litt, and are used for all groups from now on - combined medium limpets on rock/mussel as of 10/2/09 and removed LMDROC, LMDMUS categories. LMDALL previously only used for CINP from 4/30/09 on."
NC_RockyIt,limpets under 5 mm in size on all substrate,LSMALL,Animalia,Mollusca,,,,,,"these values are copied from limpet_litt, and are used for all groups from now on - combined small limpets on rock/mussel as of 10/2/09 and removed LSMROC, LSMMUS categories. LSMALL previously only used for CINP from 4/30/09 on."
NC_RockyIt,limpets unsized on all substrate,LIMUNS,Animalia,Mollusca,,,,,,"used by CINP from FA99 to SP02, also used by PISCO for FA99 (before size categories used)"
NC_RockyIt,lirabuccinum dirum,LIRDIR,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Lirabuccinum,dirum,"added 05/09 b/c of high abundance in WA, formerly named Searlesia dira"
NC_RockyIt,littorina spp,LITSPP,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Littorinidae,littorina,spp,these values are copied from limpet_litt
NC_RockyIt,lottia gigantea,LOTGIG,Animalia,Mollusca,Gastropoda,Patellogastropoda,Lottiidae,lottia,gigantea,
NC_RockyIt,macron lividus,MACLIV,Animalia,Mollusca,Gastropoda,Neogastropoda,Pseudolividae,macron,lividus,
NC_RockyIt,Mastocarpus papillatus,,Plantae,Rhodophyta,Rhodophyceae,Gigartinales,Petrocelidaceae,mastocarpus,papillatus,
NC_RockyIt,Microcladia borealis,,,Plantae,Rhodophyta,Florideophyceae,Ceramiaceae,microcladia,borealis,
NC_RockyIt,mopalia spp,MOPSPP,Animalia,Mollusca,Polyplacophora,Neoloricata,Mopaliidae,mopalia,spp,
NC_RockyIt,mytilus californianus,MYTCAL,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,mytilus,californianus,
NC_RockyIt,Neorhodomela larix,,Plantae,Rhodophyta,Rhodophyceae,Ceramiales,Rhodomelaceae,neorhodomela,larix,
NC_RockyIt,Non-coralline crusts,,Plantae,,,,,,,
NC_RockyIt,norrisia norrisi,NORNOR,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,norrisia,norrisi,
NC_RockyIt,nucella emarginata/ostrina,NUCEMA,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,nucella,emarginata,"changed to slashed category since overlap occurs in sampling region. WA is only n. ostrina, but still included in this lumped category"
NC_RockyIt,nucella lamellosa,NUCLAM,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,nucella,lamellosa,
NC_RockyIt,nucella spp,NUCSPP,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,nucella,spp,
NC_RockyIt,nuttallina spp,NUTSPP,Animalia,Mollusca,Polyplacophora,Neoloricata,Ischnochitonidae,nuttallina,spp,
NC_RockyIt,ocenebra circumtexta,OCECIR,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,ocenebra,circumtexta,
NC_RockyIt,ocenebra poulsoni,OCEPOU,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,ocenebra,poulsoni,
NC_RockyIt,ocenebra spp,OCESPP,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,ocenebra,spp,"use for other species of ocenebra and/or those not identified to species, NOT as a sum of all species of ocenebra (added 10/2008)"
NC_RockyIt,onchidella borealis,ONCBOR,Animalia,Mollusca,Gastropoda,Systellommatophora,Onchidiidae,onchidella,borealis,
NC_RockyIt,onchidoris bilamellata,ONCBIL,Animalia,Mollusca,Gastropoda,Systellommatophora  ,Onchidorididae,onchidoris,bilamellata,"added Aug, 2012 based on SSSC data"
NC_RockyIt,opalia spp.,OPASPP,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Epitoniidae,opalia,spp,
NC_RockyIt,Other green algae,,Plantae,Heterokontophyta,,,,,,
NC_RockyIt,Other red algae,,Plantae,Rhodophyta,,,,,,
NC_RockyIt,Other substrate,,,,,,,,,
NC_RockyIt,pachycheles spp,PACSPP,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,pachycheles,spp,
NC_RockyIt,pachygrapsus crassipes,PACCRA,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,pachygrapsus,crassipes,
NC_RockyIt,pachygrapsus crassipes and hemigrapsus nudus recruits,HEMPAC,Animalia,Arthropoda,Malacostraca,Decapoda,,,,
NC_RockyIt,pagurus beringanus,PAGBER,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,pagurus,beringanus,"Depending on the experience of the sampler (and the number of Pagurus in the plot), either a). all Pagurus species are identified, or b). only the 1st 10 hermit crabs encountered are identified to species, then percentages are assigned to the total number counted based on the ratios of these 1st 10. All calculations should be done on the field datasheet with totals only entered into the spreadsheet"
NC_RockyIt,pagurus granosimanus,PAGGRA,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,pagurus,granosimanus,"Depending on the experience of the sampler (and the number of Pagurus in the plot), either a). all Pagurus species are identified, or b). only the 1st 10 hermit crabs encountered are identified to species, then percentages are assigned to the total number counted based on the ratios of these 1st 10. All calculations should be done on the field datasheet with totals only entered into the spreadsheet"
NC_RockyIt,pagurus hirsutiusculus,PAGHIR,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,pagurus,hirsutiusculus,"Depending on the experience of the sampler (and the number of Pagurus in the plot), either a). all Pagurus species are identified, or b). only the 1st 10 hermit crabs encountered are identified to species, then percentages are assigned to the total number counted based on the ratios of these 1st 10. All calculations should be done on the field datasheet with totals only entered into the spreadsheet"
NC_RockyIt,pagurus samuelis,PAGSAM,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,pagurus,samuelis,"Depending on the experience of the sampler (and the number of Pagurus in the plot), either a). all Pagurus species are identified, or b). only the 1st 10 hermit crabs encountered are identified to species, then percentages are assigned to the total number counted based on the ratios of these 1st 10. All calculations should be done on the field datasheet with totals only entered into the spreadsheet"
NC_RockyIt,pagurus spp,PAGSPP,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,pagurus,spp,"use for pagurus not identified to species, NOT as a sum of all species"
NC_RockyIt,Pelvetiopsis limitata,,Plantae,Heterokontophyta,Phaeophyceae,Fucales,Fucaceae,pelvetiopsis,limitata,
NC_RockyIt,petrolisthes spp,PETSPP,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,petrolisthes,spp,
NC_RockyIt,phyllospadix scouleri/torreyi overstory,PHYOVE,Plantae,Magnoliophyta,Liliopsida,Najadales,Zosteraceae,phyllospadix,spp,
NC_RockyIt,pisaster brevispinus,PISBRE,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,pisaster,brevispinus,
NC_RockyIt,pisaster giganteus,PISGIG,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,pisaster,giganteus,
NC_RockyIt,pisaster ochraceus,PISOCH,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,pisaster,ochraceus,
NC_RockyIt,postelsia palmaeformis,POSPAL,Plantae,Heterokontophyta,Phaeophyceae,Laminariales,Lessoniaceae,postelsia,palmaeformis,
NC_RockyIt,pugettia spp,PUGSPP,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,pugettia,spp,
NC_RockyIt,pycnopodia helianthoides,PYCHEL,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,pycnopodia,helianthoides,
NC_RockyIt,Rock,,,,,,,,,
NC_RockyIt,Sand,,,,,,,,,
NC_RockyIt,strongylocentrotus franciscanus,STRFRA,,Animalia,Echinodermata,Echinoidea,Strongylocentrotidae,strongylocentrotus,franciscanus,
NC_RockyIt,strongylocentrotus purpuratus,STRPUR,Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,strongylocentrotus,purpuratus,
NC_RockyIt,tegula aureotincta,TEGAUR,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,tegula,aureotincta,
NC_RockyIt,tegula brunnea,TEGBRU,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,tegula,brunnea,
NC_RockyIt,tegula eiseni,TEGEIS,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,tegula,eiseni,
NC_RockyIt,tegula funebralis,TEGFUN,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,tegula,funebralis,
NC_RockyIt,tegula gallina,TEGGAL,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,tegula,gallina,
NC_RockyIt,Tetraclita rubescens,,Animalia,Arthropoda,Maxillopoda,Sessilia,Tetraclitidae,tetraclita,rubescens,
NC_RockyIt,tonicella spp,TONSPP,Animalia,Mollusca,Polyplacophora,Neoloricata,Ischnochitonidae,tonicella,spp,added 05/09 b/c of high abundance in WA
NC_RockyIt,acanthina spp,ACASPP,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,acanthinucella,spp,
NC_RockyIt,Balanus,,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,balanus,glandula,
NC_RockyIt,Byssal threads,,,,,,,,,attached byssal threads from Mytilus spp.
NC_RockyIt,chthamalus dalli/fissus,,Animalia,Arthropoda,Maxillopoda,Sessilia,Chthamaloidea,chthamalus,dalli/fissus,
NC_RockyIt,chthamalus dalli-dead,,Animalia,Arthropoda,Maxillopoda,Sessilia,Chthamaloidea,chthamalus,dalli/fissus,
NC_RockyIt,Cladophora spp.,,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,cladophora,,
NC_RockyIt,cryptopleura/hymenena spp,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,cryptopleura/hymenena,spp,
NC_RockyIt,Dead balanus,,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,balanus,glandula,
NC_RockyIt,Endocladia,,Plantae,Rhodophyta,Rhodophyceae,Cryptonemiales,Endocladiaceae,endocladia,muricata,
NC_RockyIt,Filamentous red ,,Plantae,Rhodophyta,Rhodophyceae,,,,,"Red filamentous algae that can't be Ided but may include Polysiphonia, Caithamnion, etc."
NC_RockyIt,Fucus distichus,,Plantae,Heterokontophyta,Phaeophyceae,Fucales,Fucaceae,fucus,distichus,
NC_RockyIt,Laminaria,,Plantae,Heterokontophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,spp,
NC_RockyIt,lepidochitona hartwegii,LEPHAR,Animalia,Mollusca,Polyplacophora,Neoloricata,Lepidochitonidae,lepidochitona,hartwegii,
NC_RockyIt,Limpet,,Animalia,Mollusca,,,,,,
NC_RockyIt,limpets over 15 mm in size on any substrate/organism,LIMPLG,Animalia,Mollusca,,,,,,consolidated large limpets (except for Lottia gigantea) on rock/mussel as of 10/2008. Removed separate CSUF limpet categories by species as of 11/2008 - they will lump to LIMPLG from now on. Lottia gigantea is recorded separately.
NC_RockyIt,Littorine,,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Littorinidae,littorina,,
NC_RockyIt,Mazzaella spp.,,Plantae,Rhodophyta,Rhodophyceae,Gigartinales,Gigartinaceae,mazzaella,spp,
NC_RockyIt,Mytilus,,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,mytilus,californianus,
NC_RockyIt,Mytilus-dead,,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,mytilus,californianus,
NC_RockyIt,Nucella,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,nucella,spp,
NC_RockyIt,Odanthalia,,Plantae,Rhodophyta,Rhodophyceae,Ceramiales,Rhodomelaceae,odonthalia,spp,
NC_RockyIt,Phragmatopoma spp.,,Animalia,Annelida,Polychaeta,Canalipalpata,Sabellariidae,,,Any sand tube building worm
NC_RockyIt,Phyllospadix spp.,,Plantae,Magnoliophyta,Liliopsida,Najadales,Zosteraceae,phyllospadix,spp.,
NC_RockyIt,Pollicipes,,Animalia,Arthropoda,Maxillopoda,Pedunculata,Pollicipedidae,pollicipes,polymerus,
NC_RockyIt,Porphyra spp.,,Plantae,Rhodophyta,Rhodophyceae,Bangiales,Bangiaceae,porphyra,spp,
NC_RockyIt,Postelsia,,Plantae,Heterokontophyta,Phaeophyceae,Laminariales,Lessoniaceae,postelsia,palmaeformis,
NC_RockyIt,Prionitis spp.,,Plantae,Rhodophyta,Rhodophyceae,Cryptonemiales,Cryptonemiaceae,prionitis,spp,
NC_RockyIt,Semibalanus,,Animalia,Arthropoda,Maxillopoda,Sessilia,Archaeobalanidae,semibalanus,cariosus,
NC_RockyIt,Semibalanus-dead,,Animalia,Arthropoda,Maxillopoda,Sessilia,Archaeobalanidae,semibalanus,cariosus,
NC_RockyIt,Sponge,,Animalia,Porifera,,,,,,
NC_RockyIt,Terrestrial debris,,,,,,,,,Any land plant that has drifted onto plot
NC_RockyIt,Ulva spp.,,Plantae,Chlorophyta,Ulvophyceae,Ulotrichaels,Ulvaceae,ulva,spp,
NC_RockyIt,Wormtube,,Animalia,Annelida,Polychaeta,Canalipalpata,Sabellariidae,,,
